fold,subset,video_id,window_size_frames,label,num_windows,total_window_frames,missing_frames,mean_missing_rate,fully_observed_windows,fully_missing_windows
4,train,dataset,30,alert,2978,89340,6201,0.06940899932840833,2664,138
4,train,dataset,30,distraction,692,20760,14672,0.7067437379576108,143,399
4,train,dataset,30,fatigue,71,2130,1204,0.5652582159624413,15,25
4,train,dataset,30,mixed,1031,30930,26897,0.869608794051083,110,863
4,train,dataset,60,alert,2965,177900,12370,0.06953344575604271,2584,115
4,train,dataset,60,distraction,688,41280,29277,0.7092296511627907,119,340
4,train,dataset,60,fatigue,68,4080,2345,0.5747549019607843,7,15
4,train,dataset,60,mixed,1041,62460,53826,0.8617675312199808,102,841
4,train,dataset,150,alert,2946,441900,31823,0.07201403032360262,2406,88
4,train,dataset,150,distraction,672,100800,72330,0.7175595238095238,67,239
4,train,dataset,150,fatigue,65,9750,5774,0.5922051282051282,0,2
4,train,dataset,150,mixed,1049,157350,133913,0.851051795360661,70,801
4,validation,dataset,30,alert,1018,30540,3719,0.12177472167648985,843,81
4,validation,dataset,30,distraction,99,2970,1310,0.44107744107744107,45,31
4,validation,dataset,30,fatigue,20,600,4,0.006666666666666667,17,0
4,validation,dataset,30,mixed,66,1980,1860,0.9393939393939394,4,62
4,validation,dataset,60,alert,1012,60720,7493,0.12340250329380764,805,63
4,validation,dataset,60,distraction,96,5760,2609,0.45295138888888886,40,25
4,validation,dataset,60,fatigue,17,1020,5,0.004901960784313725,14,0
4,validation,dataset,60,mixed,72,4320,3616,0.837037037037037,9,60
4,validation,dataset,150,alert,1002,150300,18993,0.12636726546906188,722,44
4,validation,dataset,150,distraction,91,13650,6206,0.45465201465201466,30,11
4,validation,dataset,150,fatigue,12,1800,11,0.006111111111111111,11,0
4,validation,dataset,150,mixed,74,11100,8628,0.7772972972972974,12,53
