source,scientific_status,run_id,family,model,representation,window_size_frames,fold,seed,balancing,subset,scope,label,metric,value
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,classical,random_forest,R0_flat,30,1,42,none,validation,global,,accuracy,0.8291457286432161
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,classical,random_forest,R0_flat,30,1,42,none,validation,global,,balanced_accuracy,0.4042104014706755
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,classical,random_forest,R0_flat,30,1,42,none,validation,global,,macro_f1,0.4099813005897506
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,classical,random_forest,R0_flat,30,1,42,none,test,global,,accuracy,0.8149837133550488
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,classical,random_forest,R0_flat,30,1,42,none,test,global,,balanced_accuracy,0.5179587666201045
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,classical,random_forest,R0_flat,30,1,42,none,test,global,,macro_f1,0.5159965727403527
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,classical,random_forest,R0_flat,30,1,42,none,all,cost,,train_seconds,0.889426599998842
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,classical,random_forest,R0_flat,30,2,42,none,validation,global,,accuracy,0.8379746835443038
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,classical,random_forest,R0_flat,30,2,42,none,validation,global,,balanced_accuracy,0.4143374439548997
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,classical,random_forest,R0_flat,30,2,42,none,validation,global,,macro_f1,0.3850444521608766
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,classical,random_forest,R0_flat,30,2,42,none,test,global,,accuracy,0.8821333333333333
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,classical,random_forest,R0_flat,30,2,42,none,test,global,,balanced_accuracy,0.7756758206393477
