run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
final__screening__logistic_regression__r3__w30__fold_1__seed_42,screening,feature,classical,screening,logistic_regression,historical_r3,30,1,42,none,d98c65d3936859850c02de5a99b6d1fee7bcf1f585e209488379dcbb84bd57de,skipped,new,,,2026-09-09T21:03:02+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r3__w30__fold_2__seed_42,screening,feature,classical,screening,logistic_regression,historical_r3,30,2,42,none,3051e0536876547780784d596d59f9f0ff584e13b32c3cbb88f953397286fb9d,skipped,new,,,2026-09-09T21:03:02+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r3__w30__fold_3__seed_42,screening,feature,classical,screening,logistic_regression,historical_r3,30,3,42,none,95735738c7d76e2712a9e35a76a08f2b848c5220698230e9963df53c6ae0459e,skipped,new,,,2026-09-09T21:03:02+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r3__w30__fold_4__seed_42,screening,feature,classical,screening,logistic_regression,historical_r3,30,4,42,none,c25d986ec680d1f1be31d255dd89482fe010a96965ab35b2fd6cb973441673b2,skipped,new,,,2026-09-09T21:03:02+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r3__w60__fold_1__seed_42,screening,feature,classical,screening,logistic_regression,historical_r3,60,1,42,none,f30c306bfcc76fe774f44ec00a6a2f4befd05234fcd533789d359fe1018ac5d6,skipped,new,,,2026-09-09T21:03:02+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r3__w60__fold_2__seed_42,screening,feature,classical,screening,logistic_regression,historical_r3,60,2,42,none,38d2ff590cf19ad5b61ed10b872dc80d22dfe4c9b393b027abfa5af9b9b0a1d8,skipped,new,,,2026-09-09T21:03:02+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r3__w60__fold_3__seed_42,screening,feature,classical,screening,logistic_regression,historical_r3,60,3,42,none,1a756e39227837d66cf07dec1f1b427017cbbee8623cdd3d0cdab2671eda6c67,skipped,new,,,2026-09-09T21:03:02+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r3__w60__fold_4__seed_42,screening,feature,classical,screening,logistic_regression,historical_r3,60,4,42,none,a8ac7298eb170a23386fe86799a61e091648eea7c6c1c203b8bf7b901319185c,skipped,new,,,2026-09-09T21:03:02+00:00,superseded by current canonical configuration
final__screening__shapelet__random_shapelet_ridge__r0__w60__fold_1__seed_42,screening,shapelet,classical,screening,random_shapelet_ridge,R0,60,1,42,none,1063113017bebe90f15ca20ab90f84fc6052a41b58fcf761fe241e392c0c7511,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__shapelet__random_shapelet_ridge__r0__w60__fold_2__seed_42,screening,shapelet,classical,screening,random_shapelet_ridge,R0,60,2,42,none,20914632e435beb7cddcdcf3016ab102208ca4f705b03834acb508dc7df1579f,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__shapelet__random_shapelet_ridge__r0__w60__fold_3__seed_42,screening,shapelet,classical,screening,random_shapelet_ridge,R0,60,3,42,none,f80e9db6244c4a2eb5e408fc0cf543c458416a6338d9689f6df951aa4f524904,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__shapelet__random_shapelet_ridge__r0__w60__fold_4__seed_42,screening,shapelet,classical,screening,random_shapelet_ridge,R0,60,4,42,none,4146a50c0b1cec5c45a9adfe5e1cff1845710953f6fb6aa675d55c0f68381cdb,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__transform__minirocket_ridge__r0__w150__fold_1__seed_42,screening,transform,classical,screening,minirocket_ridge,R0,150,1,42,none,5e2a8584a42451efebbdad62a28059610e60b17b26f29826d4118655c4b2939d,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
