run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
final__screening__feature__dummy__r0_flat__w150__fold_2__seed_42,screening,feature,classical,screening,dummy,R0_flat,150,2,42,none,9ef0dcedf4e5209f124b41ba07662127655d4bf263b35f2d1e360d684fa29754,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__dummy__r0_flat__w150__fold_2__seed_42.joblib,1.277,2026-09-15T18:36:50+00:00,
final__screening__feature__dummy__r0_flat__w150__fold_3__seed_42,screening,feature,classical,screening,dummy,R0_flat,150,3,42,none,11955bafb7f715715b98df518acb5e0e5103dcd390c9102fa3e92bdbd961b363,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__dummy__r0_flat__w150__fold_3__seed_42.joblib,1.245,2026-09-15T18:36:51+00:00,
final__screening__feature__dummy__r0_flat__w150__fold_4__seed_42,screening,feature,classical,screening,dummy,R0_flat,150,4,42,none,14cbc591cb18d172128ad2da4c2f948d6885dee2e13445ee7da6878d3640e8ae,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__dummy__r0_flat__w150__fold_4__seed_42.joblib,1.244,2026-09-15T18:36:52+00:00,
final__screening__feature__dummy__r0_flat__w30__fold_1__seed_42,screening,feature,classical,screening,dummy,R0_flat,30,1,42,none,fbc765228e7fb5b41e2d46594a8860f89ef944abb6bdf37d204e59004885c69a,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__dummy__r0_flat__w30__fold_1__seed_42.joblib,1.043,2026-09-15T18:36:44+00:00,
final__screening__feature__dummy__r0_flat__w30__fold_2__seed_42,screening,feature,classical,screening,dummy,R0_flat,30,2,42,none,b5b6dbfcd816033ac292afb18c65bfc07475aedddf31f4fde11f1d0d6d1473a0,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__dummy__r0_flat__w30__fold_2__seed_42.joblib,0.388,2026-09-15T18:36:44+00:00,
final__screening__feature__dummy__r0_flat__w30__fold_3__seed_42,screening,feature,classical,screening,dummy,R0_flat,30,3,42,none,9c523a1c4d0d906212afb9f2c2fd7e0cb032cfe2d6113d0ae0e795798d1cf653,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__dummy__r0_flat__w30__fold_3__seed_42.joblib,0.392,2026-09-15T18:36:44+00:00,
final__screening__feature__dummy__r0_flat__w30__fold_4__seed_42,screening,feature,classical,screening,dummy,R0_flat,30,4,42,none,ac510f4b67774448d5466371ba355be0871fe32a9ff3149d9c69ebe0d6b4764c,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__dummy__r0_flat__w30__fold_4__seed_42.joblib,0.419,2026-09-15T18:36:45+00:00,
final__screening__feature__dummy__r0_flat__w60__fold_1__seed_42,screening,feature,classical,screening,dummy,R0_flat,60,1,42,none,4929f113cd176f7afe8d4cc022d4b05ec58635b5d15097568098b3c67ca2ef90,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__dummy__r0_flat__w60__fold_1__seed_42.joblib,0.594,2026-09-15T18:36:45+00:00,
final__screening__feature__dummy__r0_flat__w60__fold_2__seed_42,screening,feature,classical,screening,dummy,R0_flat,60,2,42,none,f81651e0534190c792d27f980086ff35a98f57f4205374a911382b1006152eb6,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__dummy__r0_flat__w60__fold_2__seed_42.joblib,0.591,2026-09-15T18:36:46+00:00,
final__screening__feature__dummy__r0_flat__w60__fold_3__seed_42,screening,feature,classical,screening,dummy,R0_flat,60,3,42,none,4e66dfadf43ae81bf0f978d939d3bb746dd3aed8dd24f62717aa5e371972e980,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__dummy__r0_flat__w60__fold_3__seed_42.joblib,0.597,2026-09-15T18:36:47+00:00,
