model,scenario,strategy,subset,label,mean,std,median,minimum,maximum,fold_count,metric
tcn,A,none,validation,distraction,0.3787768031189084,0.10263839346560273,0.38255360623781676,0.25,0.5,4,recall
tcn,A,none,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
tcn,B,class_weights,test,alert,0.8042036441105175,0.1292886001514425,0.8329994339674096,0.6378676470588235,0.9129480614484272,4,recall
tcn,B,class_weights,test,distraction,0.5823102245601302,0.18890511929406875,0.5899865919063871,0.35507246376811596,0.7941952506596306,4,recall
tcn,B,class_weights,test,fatigue,0.056680881307746976,0.08464651671017841,0.023809523809523808,0.0,0.1791044776119403,4,recall
tcn,B,class_weights,validation,alert,0.7604949292283509,0.03470388540870295,0.750925925925926,0.7297830374753451,0.8103448275862069,4,recall
tcn,B,class_weights,validation,distraction,0.44653589993502274,0.04111707235131574,0.4424139051332034,0.40131578947368424,0.5,4,recall
tcn,B,class_weights,validation,fatigue,0.3970588235294118,0.425200949847087,0.29411764705882354,0.0,1.0,4,recall
tcn,C,weighted_sampling,test,alert,0.78325929432119,0.13302891631521802,0.822838783143004,0.6029411764705882,0.8844184345281638,4,recall
tcn,C,weighted_sampling,test,distraction,0.5997124077976532,0.21029358835925777,0.6590535104826913,0.2971014492753623,0.783641160949868,4,recall
tcn,C,weighted_sampling,test,fatigue,0.05366027007818053,0.06274198299347086,0.047619047619047616,0.0,0.11940298507462686,4,recall
tcn,C,weighted_sampling,validation,alert,0.7268070711929806,0.029503075814584587,0.7295316166553625,0.691683569979716,0.7564814814814815,4,recall
tcn,C,weighted_sampling,validation,distraction,0.4529727095516569,0.01841241275566526,0.45942982456140347,0.42592592592592593,0.46710526315789475,4,recall
tcn,C,weighted_sampling,validation,fatigue,0.47850678733031676,0.3530450982093001,0.3393665158371041,0.23529411764705882,1.0,4,recall
tcn,D,augmentation,test,alert,0.8820132356056286,0.06201618930711216,0.88228461748377,0.8207720588235294,0.942711648631445,4,recall
tcn,D,augmentation,test,distraction,0.5789374448093817,0.22507165734666035,0.5733178937103851,0.3115942028985507,0.8575197889182058,4,recall
