run_id,model,scenario,strategy,fold,subset,video_id,session_id,observed_hours,false_fatigue_windows,false_fatigue_episodes,false_windows_per_hour,false_episodes_per_hour
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_3__seed_42,tcn,C,weighted_sampling,3,validation,video_04,session_04,0.09894167151620005,8,7,80.85571910608093,70.74875421782082
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_3__seed_42,tcn,C,weighted_sampling,3,test,video_03,session_03,0.49538827800487906,33,15,66.61441431941792,30.279279236099054
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_4__seed_42,tcn,C,weighted_sampling,4,validation,video_01,session_01,0.08484541579462511,112,14,1320.0477474364043,165.00596842955053
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_4__seed_42,tcn,C,weighted_sampling,4,validation,video_02,session_02,0.099687,24,9,240.75355863853864,90.28258448945199
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_4__seed_42,tcn,C,weighted_sampling,4,validation,video_03,session_03,0.09897965594162766,31,7,313.19567344507607,70.7216036811462
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_4__seed_42,tcn,C,weighted_sampling,4,test,video_04,session_04,0.49564397622417944,98,33,197.72256841809102,66.58004854894902
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,transformer,D,augmentation,1,validation,video_02,session_02,0.099687,0,0,0.0,0.0
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,transformer,D,augmentation,1,validation,video_03,session_03,0.09897965594162766,0,0,0.0,0.0
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,transformer,D,augmentation,1,validation,video_04,session_04,0.09894167151620005,0,0,0.0,0.0
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,transformer,D,augmentation,1,test,video_01,session_01,0.4933518182717438,0,0,0.0,0.0
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,transformer,D,augmentation,2,validation,video_01,session_01,0.08623253430897865,0,0,0.0,0.0
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,transformer,D,augmentation,2,validation,video_03,session_03,0.09897965594162766,0,0,0.0,0.0
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,transformer,D,augmentation,2,validation,video_04,session_04,0.09894167151620005,0,0,0.0,0.0
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,transformer,D,augmentation,2,test,video_02,session_02,0.498435,0,0,0.0,0.0
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,transformer,D,augmentation,3,validation,video_01,session_01,0.08623253430897865,0,0,0.0,0.0
