run_id,model,window_size_frames,scenario,strategy,fold,seed,execution,config_path,checkpoint
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,lstm,60,B,class_weights,3,42,new,fase_2/configs/experiment/g4_b_w60.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42/best_macro_f1.pt
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_4__seed_42,lstm,60,B,class_weights,4,42,new,fase_2/configs/experiment/g4_b_w60.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w60__lstm__r0__w60__fold_4__seed_42/best_macro_f1.pt
G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,svm,60,B,class_weights,1,42,new,fase_2/configs/experiment/imbalance.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42.joblib
G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,svm,60,B,class_weights,2,42,new,fase_2/configs/experiment/imbalance.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42.joblib
G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,svm,60,B,class_weights,3,42,new,fase_2/configs/experiment/imbalance.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42.joblib
G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,svm,60,B,class_weights,4,42,new,fase_2/configs/experiment/imbalance.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42.joblib
G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,tcn,60,B,class_weights,1,42,new,fase_2/configs/experiment/g4_b_w60.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42/best_macro_f1.pt
G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,tcn,60,B,class_weights,2,42,new,fase_2/configs/experiment/g4_b_w60.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42/best_macro_f1.pt
G4__g4_b_class_weights_w60__tcn__r0__w60__fold_3__seed_42,tcn,60,B,class_weights,3,42,new,fase_2/configs/experiment/g4_b_w60.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w60__tcn__r0__w60__fold_3__seed_42/best_macro_f1.pt
G4__g4_b_class_weights_w60__tcn__r0__w60__fold_4__seed_42,tcn,60,B,class_weights,4,42,new,fase_2/configs/experiment/g4_b_w60.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w60__tcn__r0__w60__fold_4__seed_42/best_macro_f1.pt
G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,transformer,150,B,class_weights,1,42,new,fase_2/configs/experiment/g4_b_w150.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42/best_macro_f1.pt
G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,transformer,150,B,class_weights,2,42,new,fase_2/configs/experiment/g4_b_w150.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42/best_macro_f1.pt
G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,transformer,150,B,class_weights,3,42,new,fase_2/configs/experiment/g4_b_w150.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42/best_macro_f1.pt
G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,transformer,150,B,class_weights,4,42,new,fase_2/configs/experiment/g4_b_w150.yaml,fase_2/outputs/models/G4/G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42/best_macro_f1.pt
