model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,scenario,balancing,seed
svm,r0_flat,4,test,distraction,alert,91,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,test,distraction,fatigue,3,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,test,distraction,distraction,44,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,1,validation,alert,alert,784,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,validation,alert,fatigue,40,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,validation,alert,distraction,190,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,validation,fatigue,alert,1,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,validation,fatigue,fatigue,2,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,validation,fatigue,distraction,1,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,validation,distraction,alert,96,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,validation,distraction,fatigue,2,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,validation,distraction,distraction,64,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,test,alert,alert,758,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,test,alert,fatigue,16,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,test,alert,distraction,314,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
