model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,representation,window_size_frames,seed,balancing,scenario,strategy,best_epoch,best_training_loss,best_validation_loss,best_validation_macro_f1,configuration_id,inference_seconds,inference_windows_per_second,model_size_bytes,parameter_count,peak_gpu_memory_bytes,stopping_epoch,training_seconds
svm,r0_flat,1,validation,1180,0.7822033898305085,0.5818053424891031,0.49396274644699695,0.49396274644699695,"[""alert"", ""fatigue"", ""distraction""]",[],8.869200400004047,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,R0,60,42,class_weights,B,class_weights,,,,,g4_b_class_weights_w60,,,,,,,
svm,r0_flat,1,test,1534,0.6786179921773142,0.4839966824460655,0.4415649831623332,0.4415649831623332,"[""alert"", ""fatigue"", ""distraction""]",[],8.869200400004047,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,G4,R0,60,42,class_weights,B,class_weights,,,,,g4_b_class_weights_w60,,,,,,,
svm,r0_flat,2,validation,1173,0.7084398976982097,0.3981003707525896,0.34372755381472925,0.34372755381472925,"[""alert"", ""fatigue"", ""distraction""]",[],8.156199299999571,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,R0,60,42,class_weights,B,class_weights,,,,,g4_b_class_weights_w60,,,,,,,
svm,r0_flat,2,test,1864,0.8465665236051502,0.7396128202510086,0.7437495084803523,0.4958330056535682,"[""alert"", ""distraction""]","[""fatigue""]",8.156199299999571,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,R0,60,42,class_weights,B,class_weights,,,,,g4_b_class_weights_w60,,,,,,,
svm,r0_flat,3,validation,1151,0.7193744569939183,0.3949236681968613,0.3754281041406502,0.3754281041406502,"[""alert"", ""fatigue"", ""distraction""]",[],7.624128599993128,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,R0,60,42,class_weights,B,class_weights,,,,,g4_b_class_weights_w60,,,,,,,
svm,r0_flat,3,test,1500,0.8146666666666667,0.4892404291636186,0.41709246731148575,0.41709246731148575,"[""alert"", ""fatigue"", ""distraction""]",[],7.624128599993128,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,R0,60,42,class_weights,B,class_weights,,,,,g4_b_class_weights_w60,,,,,,,
svm,r0_flat,4,validation,1125,0.7111111111111111,0.3766469038208169,0.3460873201421755,0.3460873201421755,"[""alert"", ""fatigue"", ""distraction""]",[],9.067271499996423,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,R0,60,42,class_weights,B,class_weights,,,,,g4_b_class_weights_w60,,,,,,,
svm,r0_flat,4,test,1095,0.726027397260274,0.5517922856753441,0.5417479265002842,0.36116528433352285,"[""alert"", ""distraction""]","[""fatigue""]",9.067271499996423,True,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,R0,60,42,class_weights,B,class_weights,,,,,g4_b_class_weights_w60,,,,,,,
tcn,temporal_r0,1,validation,1180,0.6923728813559322,0.7268001071419875,0.41761614901703537,0.41761614901703537,"[""alert"", ""fatigue"", ""distraction""]",[],316.106775799999,False,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,R0,60,42,,B,class_weights,5,0.8849148528473201,0.9798167952036454,0.41761614901703537,g4_b_class_weights_w60,3.7019225000040024,318.75329642874055,637116,49379,188977664,20,316.106775799999
tcn,temporal_r0,1,test,1534,0.6564537157757496,0.5370557917767981,0.5143859211896066,0.5143859211896066,"[""alert"", ""fatigue"", ""distraction""]",[],316.106775799999,False,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,R0,60,42,,B,class_weights,5,0.8849148528473201,0.9798167952036454,0.41761614901703537,g4_b_class_weights_w60,4.949780799994187,309.91271371083775,637116,49379,188977664,20,316.106775799999
