model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,representation,window_size_frames,seed,balancing,scenario,strategy,configuration_id
tcn,temporal_r0,2,validation,alert,0.9317343173431735,0.9351851851851852,0.933456561922366,1080,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,2,validation,fatigue,0.0,0.0,0.0,17,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,2,validation,distraction,0.21348314606741572,0.25,0.23030303030303031,76,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,2,test,alert,0.9216533004318322,0.950986632718014,0.9360902255639098,1571,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,2,test,fatigue,,,,0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,2,test,distraction,0.6831275720164609,0.5665529010238908,0.6194029850746269,293,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,3,validation,alert,0.8888888888888888,0.8519269776876268,0.8700155359917141,986,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,3,validation,fatigue,0.0,0.0,0.0,13,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,3,validation,distraction,0.2912621359223301,0.39473684210526316,0.33519553072625696,152,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,3,test,alert,0.9446902654867256,0.9370885149963424,0.9408740359897172,1367,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,3,test,fatigue,0.0,0.0,0.0,21,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,3,test,distraction,0.3888888888888889,0.5,0.4375,112,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,4,validation,alert,0.932920536635707,0.8932806324110671,0.9126703685007572,1012,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,4,validation,fatigue,0.0,0.0,0.0,17,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,4,validation,distraction,0.3076923076923077,0.5,0.38095238095238093,96,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,4,test,alert,0.8923766816143498,0.831765935214211,0.861005949161709,957,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,4,test,fatigue,,,,0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,4,test,distraction,0.20689655172413793,0.30434782608695654,0.24633431085043989,138,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
transformer,temporal_r0,1,validation,alert,0.8889925373134329,0.953953953953954,0.920328343795268,999,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,1,validation,fatigue,0.0,0.0,0.0,1,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,1,validation,distraction,0.4457831325301205,0.23870967741935484,0.31092436974789917,155,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,1,test,alert,0.8595600676818951,0.9321100917431193,0.8943661971830986,1090,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,1,test,fatigue,0.0,0.0,0.0,62,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,1,test,distraction,0.7341040462427746,0.675531914893617,0.703601108033241,376,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,2,validation,alert,0.9493041749502982,0.8891992551210428,0.9182692307692307,1074,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
