model,scenario,strategy,fold,subset,macro_f1_a,macro_f1_scenario,delta_macro_f1,fatigue_recall_a,fatigue_recall_scenario,delta_fatigue_recall,fatigue_f1_a,fatigue_f1_scenario,delta_fatigue_f1
transformer,D,augmentation,3,validation,0.39020915706836284,0.40488841361871825,0.014679256550355402,0.0,0.0,0.0,0.0,0.0,0.0
transformer,D,augmentation,3,test,0.4421222480059219,0.4637523949889462,0.02163014698302429,0.0,0.0,0.0,0.0,0.0,0.0
transformer,D,augmentation,4,validation,0.42321963962359366,0.4058480492813142,-0.017371590342279475,0.0,0.0,0.0,0.0,0.0,0.0
transformer,D,augmentation,4,test,0.3527387078963939,0.3514908514994107,-0.0012478563969832157,0.0,0.0,0.0,0.0,0.0,0.0
lstm,D,augmentation,1,validation,0.40779159862035436,0.42028737123195414,0.012495772611599787,0.0,0.0,0.0,0.0,0.0,0.0
lstm,D,augmentation,1,test,0.4630544796584773,0.47321512891960754,0.01016064926113025,0.0,0.0,0.0,0.0,0.0,0.0
lstm,D,augmentation,2,validation,0.38993628349480663,0.38663757594480486,-0.003298707550001778,0.0,0.0,0.0,0.0,0.0,0.0
lstm,D,augmentation,2,test,0.5180764809438346,0.5124750698395006,-0.0056014111043339865,0.0,0.0,0.0,0.0,0.0,0.0
lstm,D,augmentation,3,validation,0.39312777530650306,0.39448002101298885,0.0013522457064857885,0.0,0.0,0.0,0.0,0.0,0.0
lstm,D,augmentation,3,test,0.45851594968603804,0.4622507466207703,0.0037347969347322763,0.0,0.0,0.0,0.0,0.0,0.0
lstm,D,augmentation,4,validation,0.42694260802912715,0.4010901503014734,-0.025852457727653766,0.0,0.0,0.0,0.0,0.0,0.0
lstm,D,augmentation,4,test,0.374348174049606,0.36948725404671895,-0.00486092000288707,0.0,0.0,0.0,0.0,0.0,0.0
svm,D,augmentation,1,validation,0.506268081002893,0.5092790398341775,0.0030109588312845492,0.5,0.5,0.0,0.26666666666666666,0.26666666666666666,0.0
svm,D,augmentation,1,test,0.5057423550574236,0.5039127822966895,-0.0018295727607341439,0.0,0.0,0.0,0.0,0.0,0.0
svm,D,augmentation,2,validation,0.379491939661849,0.38949964398409964,0.010007704322250621,0.058823529411764705,0.058823529411764705,0.0,0.037037037037037035,0.04081632653061224,0.0037792894935752067
svm,D,augmentation,2,test,0.5043568389176954,0.4974383505612057,-0.006918488356489727,0.0,0.0,0.0,0.0,0.0,0.0
svm,D,augmentation,3,validation,0.3844486634190374,0.38287790502980373,-0.0015707583892336507,0.0,0.0,0.0,0.0,0.0,0.0
svm,D,augmentation,3,test,0.4403787708797944,0.42263350807654604,-0.01774526280324834,0.0,0.0,0.0,0.0,0.0,0.0
svm,D,augmentation,4,validation,0.4062007307272231,0.3995191997179884,-0.006681531009234742,0.058823529411764705,0.058823529411764705,0.0,0.038461538461538464,0.04,0.0015384615384615372
svm,D,augmentation,4,test,0.36817033012542844,0.37502317348835396,0.00685284336292552,0.0,0.0,0.0,0.0,0.0,0.0
tcn,D,augmentation,1,validation,0.4289865860568595,0.4317000365959586,0.002713450539099105,0.0,0.0,0.0,0.0,0.0,0.0
tcn,D,augmentation,1,test,0.5393976990103332,0.5205487280298905,-0.018848970980442692,0.0,0.0,0.0,0.0,0.0,0.0
tcn,D,augmentation,2,validation,0.38791986407513207,0.39095398886107385,0.003034124785941783,0.0,0.0,0.0,0.0,0.0,0.0
tcn,D,augmentation,2,test,0.5184977368795122,0.5241920194474355,0.00569428256792337,0.0,0.0,0.0,0.0,0.0,0.0
tcn,D,augmentation,3,validation,0.40173702223932367,0.3954524555903866,-0.006284566648937062,0.0,0.0,0.0,0.0,0.0,0.0
tcn,D,augmentation,3,test,0.4594580119965724,0.45849310324666853,-0.0009649087499038478,0.0,0.0,0.0,0.0,0.0,0.0
tcn,D,augmentation,4,validation,0.43120758315104607,0.42694260802912715,-0.004264975121918924,0.0,0.0,0.0,0.0,0.0,0.0
tcn,D,augmentation,4,test,0.3691134200040496,0.37324562035632863,0.004132200352279014,0.0,0.0,0.0,0.0,0.0,0.0
