configuration_id,epoch,fold,generation,learning_rate,model,representation,run_id,seed,training_accuracy,training_loss,training_macro_f1,validation_accuracy,validation_loss,validation_macro_f1,window_size_frames,scenario,strategy
qualification_r0_w60_b1024,25,2,G2,6.25e-05,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8401653461935928,0.4435459362959558,0.5140926442780643,0.8431372549019608,0.37323435056138426,0.3834130436350783,60,A,none
qualification_r0_w60_b1024,26,2,G2,6.25e-05,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8387874612469859,0.4421840198299534,0.5128605362184107,0.8431372549019608,0.3730948502856854,0.3834130436350783,60,A,none
qualification_r0_w60_b1024,27,2,G2,6.25e-05,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8387874612469859,0.4391649777812051,0.512473720940715,0.8431372549019608,0.3727610033237314,0.3834130436350783,60,A,none
qualification_r0_w60_b1024,1,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.36413208118751894,1.070250525614667,0.24471030871750107,0.6498696785403997,1.0374818431305741,0.3397732426303855,60,A,none
qualification_r0_w60_b1024,2,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8073311117843078,1.004847461510629,0.5005127022493724,0.6750651607298002,0.9662504722303561,0.3454668014829794,60,A,none
qualification_r0_w60_b1024,3,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8267191760072705,0.9180246626417119,0.5086913013202735,0.6907037358818419,0.8636333528132567,0.34847747672175156,60,A,none
qualification_r0_w60_b1024,4,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8309603150560436,0.787074614062305,0.506071776952154,0.7341442224152911,0.7116955875003991,0.3667437067647952,60,A,none
qualification_r0_w60_b1024,5,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8379279006361708,0.6025377690376783,0.5086393856335767,0.7593397046046916,0.5927681354182788,0.37821425425323024,60,A,none
qualification_r0_w60_b1024,6,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8476219327476522,0.4779267494821505,0.5159444510532694,0.7810599478714162,0.5674913078028673,0.3858669803490225,60,A,none
qualification_r0_w60_b1024,7,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.846410178733717,0.44945897804322077,0.5040941946020663,0.787141615986099,0.5569322519230905,0.3835237853394278,60,A,none
