trial,method,noise_sigma_px,pitch,yaw,roll,rmse_px,min_depth,all_positive_depth
42,iterative,0.01,36.834891417641664,-164.23334977395385,-174.06086725537125,3.1223606779996578,-0.9576225137509473,False
42,sqpnp,0.01,39.974421700088996,37.76733736512347,-129.0261604407352,3.8358631579743796,0.8330953174006587,True
43,iterative,0.01,36.9235421876887,-164.73129854529174,-174.89382725386645,3.118938748759798,-0.9599021932984365,False
43,sqpnp,0.01,39.86291742902175,37.697152017101416,-129.06877660106576,3.8346421354653364,0.833208532704018,True
44,iterative,0.01,36.81177065322536,-164.22331192079042,-174.09390256346384,3.1214417814903297,-0.9579892574789786,False
44,sqpnp,0.01,39.70892730476164,37.61136603307048,-129.03597976297715,3.8617758481439224,0.833760143626544,True
45,iterative,0.01,36.83337817700528,-164.24043613484434,-174.10766252185218,3.121874252595341,-0.9575064947257196,False
45,sqpnp,0.01,39.844840879452256,37.6852832685323,-129.05160038256668,3.8479988764732513,0.8332450494047358,True
46,iterative,0.01,36.80648557015554,-164.2212193944319,-174.06604675559672,3.1216435622609793,-0.9576819571911668,False
46,sqpnp,0.01,39.71994517940544,37.609000911894405,-129.0534787618677,3.8548117037242533,0.8335709353285433,True
47,iterative,0.01,36.809762975463244,-164.21658490187156,-174.07670392942785,3.1176666640384725,-0.9579393118639168,False
47,sqpnp,0.01,39.80271467080512,37.66626548670439,-129.07591680686312,3.842115184091047,0.833806629630417,True
48,iterative,0.01,36.80419218118248,-164.24450008789444,-174.10155800712457,3.117709278212603,-0.9575737352349414,False
48,sqpnp,0.01,39.629255629042746,37.534049746810645,-129.0480592762919,3.8661193216888217,0.8335704414523276,True
49,iterative,0.01,36.83767296525228,-164.22009160467908,-174.09407005391236,3.120931060090189,-0.9575844223944336,False
49,sqpnp,0.01,39.65403474206623,37.578686550025175,-129.0570393165368,3.8650535571291336,0.8336291945110433,True
50,iterative,0.01,36.78146031032522,-164.22765067918326,-174.10524807059656,3.1201391357909554,-0.9578158188432023,False
50,sqpnp,0.01,39.84725357200469,37.69491698527631,-129.04198457629664,3.847771011086423,0.8333521221185735,True
51,iterative,0.01,36.8099627739881,-164.20541806319395,-174.07735169372728,3.12202286461362,-0.9578873012434782,False
51,sqpnp,0.01,39.75393619311319,37.65686192427984,-129.03986482552463,3.8534181132945933,0.8336337323128711,True
52,iterative,0.01,36.770314824356404,-164.16610924015345,-174.02072381523968,3.1142269080105427,-0.9574669937451337,False
52,sqpnp,0.01,39.822169194964836,37.72211234932994,-129.03556538110294,3.835468403248483,0.8331498792358712,True
53,iterative,0.01,36.77410401081212,-164.23805728930392,-174.11031066016696,3.118559773806517,-0.9576949009888129,False
53,sqpnp,0.01,39.824685761803764,37.66473607506248,-129.06785755802184,3.844558591262939,0.8333910024247684,True
54,iterative,0.01,36.809662978046504,-164.21520483585763,-174.07979364988321,3.1208746528697047,-0.9575983473419089,False
54,sqpnp,0.01,39.82472633089587,37.693026959543545,-129.02815990612552,3.850527983583403,0.8332196581023154,True
55,iterative,0.01,36.811425570646286,-164.17944580062823,-174.01926344078947,3.118709761257541,-0.9575920374916734,False
55,sqpnp,0.01,39.90533303612294,37.763073029605515,-129.05759839792663,3.8276506355524167,0.8333141794640274,True
56,iterative,0.01,36.84854344418853,-164.24090530298614,-174.1250789084708,3.119597995335444,-0.9576109165010489,False
56,sqpnp,0.01,39.85888539152377,37.69795109223427,-129.0593284149536,3.847663073954362,0.8333802073034328,True
57,iterative,0.01,36.81583716280526,-164.2122374379986,-174.0623168405784,3.118752087525374,-0.9575790846709745,False
57,sqpnp,0.01,39.98096138128435,37.78616525687196,-129.0681801566873,3.825498715941436,0.8332072512912468,True
58,iterative,0.01,36.24679042184088,-164.0921817616924,-173.88315993084987,3.1238539273627755,-0.9609442708805426,False
58,sqpnp,0.01,39.91952288006594,37.760125399103735,-129.05651016790836,3.8373203152441886,0.8333343614802913,True
59,iterative,0.01,36.800699387473756,-164.24435383690567,-174.1115509428093,3.121273210847323,-0.9575949717390496,False
59,sqpnp,0.01,39.79727750483246,37.64178643555818,-129.07212838801487,3.850851958865477,0.8333902076301352,True
60,iterative,0.01,34.865941099786866,-166.42332831729516,-177.66945934647833,3.2739701729343222,-0.9453113637096259,False
60,sqpnp,0.01,39.80079022097358,37.67354060120919,-129.10380844923858,3.837252991177172,0.8338331003348659,True
61,iterative,0.01,37.383738453285616,-163.52070250102912,-172.0001237534354,3.145193245813294,-0.9585000104456829,False
61,sqpnp,0.01,39.79570334348601,37.62540722446218,-129.08211882735557,3.8545910200671223,0.8337295456294005,True
62,iterative,0.01,36.10837938919002,-164.2666807864161,-173.87574168811202,3.131651040998679,-0.9627951131985568,False
62,sqpnp,0.01,39.76246678237829,37.63033313581367,-129.03052037944872,3.855949185132392,0.8331649401773951,True
63,iterative,0.01,49.270633535748004,-158.45425219900102,-164.81976436064676,5.735699146519727,-1.054201571298391,False
63,sqpnp,0.01,39.94121502621525,37.77328488352867,-129.06400610490067,3.833102467161162,0.8333549544340569,True
64,iterative,0.01,36.80682979392775,-164.23545124535718,-174.08834270555283,3.126016777870829,-0.9577485667600509,False
64,sqpnp,0.01,39.88140168655745,37.70579008974907,-129.04931535593045,3.8469547797418304,0.8333098631952512,True
65,iterative,0.01,36.89961295766069,-164.2174091487038,-174.0373389297274,3.1209755683848894,-0.957309594482623,False
65,sqpnp,0.01,39.89566738259915,37.7178756742692,-129.04826687610336,3.843467722602006,0.8332768059160943,True
66,iterative,0.01,36.79285275306342,-164.21341318583333,-174.1117755195794,3.120359671491083,-0.9577573560970659,False
66,sqpnp,0.01,39.87582006140261,37.71974169830495,-129.11681197887333,3.833301705800303,0.8336077039601031,True
67,iterative,0.01,36.7937947253124,-164.21687757031472,-174.08405179779015,3.120718416056104,-0.9578789215792402,False
67,sqpnp,0.01,39.811397884786025,37.67364002065527,-129.07444376364634,3.842993916169412,0.8336681835167076,True
68,iterative,0.01,27.222557368310834,-169.95715159083076,167.84414200103666,4.768775275055644,-1.0373512414419257,False
68,sqpnp,0.01,39.89696340205264,37.69791037023032,-129.09406788309286,3.840181512383061,0.833561172251842,True
69,iterative,0.01,36.81739102021756,-164.2599611421347,-174.12855535682246,3.106560749892347,-0.9574202504922696,False
69,sqpnp,0.01,39.81293442494858,37.63280172864526,-129.08790957292766,3.8406967131031435,0.8334180724980821,True
70,iterative,0.01,31.104892241026075,95.52505839620216,-84.27125600491586,682.7251758819186,-0.0826200135309927,False
70,sqpnp,0.01,39.76920602409552,37.64766205430818,-129.03965879145113,3.85685161698556,0.8333555963202584,True
71,iterative,0.01,36.802455539609845,-164.20435885971918,-174.06076993668782,3.1145046921094797,-0.9578940605279976,False
71,sqpnp,0.01,39.92871724467846,37.753782105671704,-129.07937671482725,3.826363792209121,0.8336075975968359,True
72,iterative,0.01,36.82017255113962,-164.23599393910231,-174.11667016863896,3.124297430238126,-0.9577521247235922,False
72,sqpnp,0.01,39.73179818633082,37.616929712358655,-129.06495892154092,3.858835611896503,0.8336260275113424,True
73,iterative,0.01,36.83617985566641,-164.2543492722724,-174.12983244809857,3.1179077047529247,-0.9576666512035222,False
73,sqpnp,0.01,39.85705228555572,37.67600562707902,-129.09711190134874,3.8399655081241653,0.8335898554663341,True
