model_key,fold,method,label,precision,recall,f1,support
tcn_b,2,crossfit_threshold,alert,0.9406392694063926,0.762962962962963,0.8425357873210634,1080
tcn_b,2,crossfit_threshold,fatigue,0.012121212121212121,0.11764705882352941,0.02197802197802198,17
tcn_b,2,crossfit_threshold,distraction,0.18181818181818182,0.3157894736842105,0.23076923076923078,76
tcn_b,3,argmax,alert,0.8917410714285714,0.8103448275862069,0.8490967056323061,986
tcn_b,3,argmax,fatigue,0.0,0.0,0.0,13
tcn_b,3,argmax,distraction,0.2837209302325581,0.40131578947368424,0.33242506811989103,152
tcn_b,3,crossfit_threshold,alert,0.8902575587905935,0.8062880324543611,0.8461947844598191,986
tcn_b,3,crossfit_threshold,fatigue,0.0,0.0,0.0,13
tcn_b,3,crossfit_threshold,distraction,0.0,0.0,0.0,152
tcn_b,4,argmax,alert,0.9301470588235294,0.75,0.8304157549234136,1012
tcn_b,4,argmax,fatigue,0.03787878787878788,0.29411764705882354,0.06711409395973154,17
tcn_b,4,argmax,distraction,0.2711864406779661,0.5,0.3516483516483517,96
tcn_b,4,crossfit_threshold,alert,0.9295426452410384,0.7430830039525692,0.8259198242723779,1012
tcn_b,4,crossfit_threshold,fatigue,0.02824858757062147,0.29411764705882354,0.05154639175257732,17
tcn_b,4,crossfit_threshold,distraction,0.23741007194244604,0.34375,0.28085106382978725,96
tcn_c,1,argmax,alert,0.9164556962025316,0.7140039447731755,0.802660753880266,1014
tcn_c,1,argmax,fatigue,0.018779342723004695,1.0,0.03686635944700461,4
tcn_c,1,argmax,distraction,0.3898305084745763,0.42592592592592593,0.40707964601769914,162
tcn_c,1,crossfit_threshold,alert,0.9153175591531756,0.7248520710059172,0.8090258668134287,1014
tcn_c,1,crossfit_threshold,fatigue,0.020833333333333332,1.0,0.04081632653061224,4
tcn_c,1,crossfit_threshold,distraction,0.3783783783783784,0.43209876543209874,0.4034582132564842,162
tcn_c,2,argmax,alert,0.9456018518518519,0.7564814814814815,0.8405349794238683,1080
tcn_c,2,argmax,fatigue,0.05,0.23529411764705882,0.08247422680412371,17
tcn_c,2,argmax,distraction,0.15283842794759825,0.4605263157894737,0.22950819672131148,76
tcn_c,2,crossfit_threshold,alert,0.9401805869074492,0.7712962962962963,0.8474059003051883,1080
tcn_c,2,crossfit_threshold,fatigue,0.0,0.0,0.0,17
tcn_c,2,crossfit_threshold,distraction,0.14566929133858267,0.4868421052631579,0.22424242424242424,76
tcn_c,3,argmax,alert,0.8880208333333334,0.691683569979716,0.7776510832383124,986
tcn_c,3,argmax,fatigue,0.05,0.38461538461538464,0.08849557522123894,13
tcn_c,3,argmax,distraction,0.2508833922261484,0.46710526315789475,0.3264367816091954,152
tcn_c,3,crossfit_threshold,alert,0.8897435897435897,0.7038539553752535,0.7859569648924122,986
tcn_c,3,crossfit_threshold,fatigue,0.0,0.0,0.0,13
tcn_c,3,crossfit_threshold,distraction,0.19946091644204852,0.4868421052631579,0.2829827915869981,152
tcn_c,4,argmax,alert,0.9297163995067818,0.7450592885375494,0.8272078990674712,1012
tcn_c,4,argmax,fatigue,0.029069767441860465,0.29411764705882354,0.05291005291005291,17
tcn_c,4,argmax,distraction,0.30985915492957744,0.4583333333333333,0.3697478991596639,96
tcn_c,4,crossfit_threshold,alert,0.9289805269186713,0.8013833992094862,0.8604774535809019,1012
tcn_c,4,crossfit_threshold,fatigue,0.0,0.0,0.0,17
tcn_c,4,crossfit_threshold,distraction,0.23222748815165878,0.5104166666666666,0.31921824104234525,96
