model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed,estimators
lstm,hierarchical_r0,3,validation,fatigue,alert,13,G45__hierarchical_b_w60__lstm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,3,validation,fatigue,fatigue,0,G45__hierarchical_b_w60__lstm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,3,validation,fatigue,distraction,0,G45__hierarchical_b_w60__lstm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,3,validation,distraction,alert,88,G45__hierarchical_b_w60__lstm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,3,validation,distraction,fatigue,0,G45__hierarchical_b_w60__lstm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,3,validation,distraction,distraction,64,G45__hierarchical_b_w60__lstm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,4,validation,alert,alert,889,G45__hierarchical_b_w60__svm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,4,validation,alert,fatigue,0,G45__hierarchical_b_w60__svm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,4,validation,alert,distraction,123,G45__hierarchical_b_w60__svm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,4,validation,fatigue,alert,16,G45__hierarchical_b_w60__svm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,4,validation,fatigue,fatigue,0,G45__hierarchical_b_w60__svm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,4,validation,fatigue,distraction,1,G45__hierarchical_b_w60__svm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,4,validation,distraction,alert,66,G45__hierarchical_b_w60__svm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,4,validation,distraction,fatigue,0,G45__hierarchical_b_w60__svm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,4,validation,distraction,distraction,30,G45__hierarchical_b_w60__svm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,4,validation,alert,alert,769,G45__hierarchical_b_w60__lstm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,4,validation,alert,fatigue,5,G45__hierarchical_b_w60__lstm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,4,validation,alert,distraction,238,G45__hierarchical_b_w60__lstm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,4,validation,fatigue,alert,9,G45__hierarchical_b_w60__lstm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,4,validation,fatigue,fatigue,1,G45__hierarchical_b_w60__lstm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,4,validation,fatigue,distraction,7,G45__hierarchical_b_w60__lstm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,4,validation,distraction,alert,50,G45__hierarchical_b_w60__lstm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,4,validation,distraction,fatigue,1,G45__hierarchical_b_w60__lstm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,4,validation,distraction,distraction,45,G45__hierarchical_b_w60__lstm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
