ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,fatigue,focal_r0_w60,0,3,G45,tcn,distraction,R0,G45__focal_r0_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,79,3,G45,tcn,alert,R0,G45__focal_r0_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,2,3,G45,tcn,fatigue,R0,G45__focal_r0_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,71,3,G45,tcn,distraction,R0,G45__focal_r0_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,729,4,G45,lstm,alert,R0,G45__focal_r0_w60__lstm__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,139,4,G45,lstm,fatigue,R0,G45__focal_r0_w60__lstm__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,144,4,G45,lstm,distraction,R0,G45__focal_r0_w60__lstm__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,8,4,G45,lstm,alert,R0,G45__focal_r0_w60__lstm__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,9,4,G45,lstm,fatigue,R0,G45__focal_r0_w60__lstm__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,0,4,G45,lstm,distraction,R0,G45__focal_r0_w60__lstm__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,50,4,G45,lstm,alert,R0,G45__focal_r0_w60__lstm__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,4,4,G45,lstm,fatigue,R0,G45__focal_r0_w60__lstm__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,42,4,G45,lstm,distraction,R0,G45__focal_r0_w60__lstm__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,788,4,G45,tcn,alert,R0,G45__focal_r0_w60__tcn__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,73,4,G45,tcn,fatigue,R0,G45__focal_r0_w60__tcn__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,151,4,G45,tcn,distraction,R0,G45__focal_r0_w60__tcn__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,13,4,G45,tcn,alert,R0,G45__focal_r0_w60__tcn__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,4,4,G45,tcn,fatigue,R0,G45__focal_r0_w60__tcn__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,0,4,G45,tcn,distraction,R0,G45__focal_r0_w60__tcn__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,41,4,G45,tcn,alert,R0,G45__focal_r0_w60__tcn__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,8,4,G45,tcn,fatigue,R0,G45__focal_r0_w60__tcn__r0__w60__fold_4__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,47,4,G45,tcn,distraction,R0,G45__focal_r0_w60__tcn__r0__w60__fold_4__seed_42,42,validation,60
