video_id,frame_index,timestamp_seconds,ear,mar,pitch,yaw,roll,face_detected,pose_detected,ear_eye,pitch_raw,yaw_raw,roll_raw
video_02,21,1.399,0.11252250225174541,0.02314324378668559,-28.933267631778275,-23.856318294676388,-147.69068993943955,1,1,RIGHT_EYE,-28.933267631778275,-23.856318294676388,-147.69068993943955
video_02,22,1.466,0.12303054369598755,0.01862832400718649,-30.772806460072715,-25.228604784342,-148.15166741293774,1,1,RIGHT_EYE,-30.772806460072715,-25.228604784342,-148.15166741293774
video_02,23,1.5330000000000001,0.13317968305449818,0.007689855439855389,-30.826309630870146,-24.162206589699515,-149.04276470440578,1,1,RIGHT_EYE,-30.826309630870146,-24.162206589699515,-149.04276470440578
video_02,24,1.599,0.15156743935792477,0.013189983502540975,-31.88626118455392,-25.200968543490536,-147.7792861957712,1,1,RIGHT_EYE,-31.88626118455392,-25.200968543490536,-147.7792861957712
video_02,25,1.666,0.15252884352912824,0.015240771237753567,-31.95844768409673,-23.75285458217065,-148.9694410525534,1,1,RIGHT_EYE,-31.95844768409673,-23.75285458217065,-148.9694410525534
video_02,26,1.733,0.13362521801547617,0.017791512294799774,-28.62078678149788,-23.32503315965043,-145.89014595790033,1,1,RIGHT_EYE,-28.62078678149788,-23.32503315965043,-145.89014595790033
video_02,27,1.799,0.12301889057984124,0.011151060327887595,-27.979408007926516,-23.34069876713474,-146.0851571205492,1,1,RIGHT_EYE,-27.979408007926516,-23.34069876713474,-146.0851571205492
video_02,28,1.866,0.11654361174792677,0.025309892942572545,-29.43549338587694,-23.500851961487612,-147.598099197988,1,1,RIGHT_EYE,-29.43549338587694,-23.500851961487612,-147.598099197988
video_02,29,1.933,0.1653021924226998,0.01269315596594144,-29.07697007935509,-23.72675436223988,-144.99293900307956,1,1,RIGHT_EYE,-29.07697007935509,-23.72675436223988,-144.99293900307956
video_02,30,1.999,0.1332075002469833,0.01507698382653072,-30.979074805871093,-23.896483021514054,-146.6405919136029,1,1,RIGHT_EYE,-30.979074805871093,-23.896483021514054,-146.6405919136029
video_02,31,2.066,0.14186732221375584,0.01958675305222941,-32.6039200987284,-23.475150139417515,-147.36171586484204,1,1,RIGHT_EYE,-32.6039200987284,-23.475150139417515,-147.36171586484204
