model,window_size_frames,subset,label,metric,n_folds_with_support,mean,standard_deviation
svm,30,validation,fatigue,f1,4,0.029411764705882353,0.0588235294117647
svm,60,test,alert,precision,4,0.909094161843893,0.03861434656329263
svm,60,test,alert,recall,4,0.8736369275566479,0.034763659194244845
svm,60,test,alert,f1,4,0.8906782058348959,0.03088412766318976
svm,60,test,distraction,precision,4,0.4355812532699326,0.20549272652786285
svm,60,test,distraction,recall,4,0.5387661035813627,0.171673001542375
svm,60,test,distraction,f1,4,0.47330801540036044,0.18306354434438515
svm,60,test,fatigue,precision,2,0.0,0.0
svm,60,test,fatigue,recall,2,0.0,0.0
svm,60,test,fatigue,f1,2,0.0,0.0
svm,60,validation,alert,precision,4,0.9088541204414926,0.02582737591584295
svm,60,validation,alert,recall,4,0.8570195468017484,0.032042369803717816
svm,60,validation,alert,f1,4,0.881758372864648,0.018766934946397376
svm,60,validation,distraction,precision,4,0.25762668177545645,0.09132647727195121
svm,60,validation,distraction,recall,4,0.3516995614035087,0.03061515302756128
svm,60,validation,distraction,f1,4,0.2900073777022934,0.05821921184480433
svm,60,validation,fatigue,precision,4,0.05935415935415936,0.0826901304663895
svm,60,validation,fatigue,recall,4,0.15441176470588236,0.23205490938322795
svm,60,validation,fatigue,f1,4,0.08554131054131053,0.12205583411963923
svm,150,test,alert,precision,4,0.8920650798141443,0.059588298592137816
svm,150,test,alert,recall,4,0.8080240478176259,0.08225450121418472
svm,150,test,alert,f1,4,0.8475210632155595,0.07004932444572617
svm,150,test,distraction,precision,4,0.319424271465852,0.1776227293743403
svm,150,test,distraction,recall,4,0.4953455345073087,0.1741367970072358
svm,150,test,distraction,f1,4,0.37833042729144517,0.17251016370899636
svm,150,test,fatigue,precision,2,0.5,0.7071067811865476
svm,150,test,fatigue,recall,2,0.022727272727272728,0.03214121732666125
svm,150,test,fatigue,f1,2,0.043478260869565216,0.061487546190134565
svm,150,validation,alert,precision,4,0.9023037205439735,0.02934731391238442
svm,150,validation,alert,recall,4,0.8292280691005649,0.03946417518063922
svm,150,validation,alert,f1,4,0.8633618619372752,0.01570647351897358
svm,150,validation,distraction,precision,4,0.17947106109576313,0.08847396820119324
svm,150,validation,distraction,recall,4,0.28142562124764575,0.026883578453518766
svm,150,validation,distraction,f1,4,0.2093758322128906,0.06240866117688453
svm,150,validation,fatigue,precision,4,0.0,0.0
svm,150,validation,fatigue,recall,4,0.0,0.0
svm,150,validation,fatigue,f1,4,0.0,0.0
xgboost,30,test,alert,precision,4,0.8982920516199819,0.04257235674636796
xgboost,30,test,alert,recall,4,0.9078040279330163,0.05324163942262508
xgboost,30,test,alert,f1,4,0.9022318012342478,0.038117012817976983
xgboost,30,test,distraction,precision,4,0.4801954406419134,0.2269556966307362
xgboost,30,test,distraction,recall,4,0.49517377276778857,0.1454921778046002
xgboost,30,test,distraction,f1,4,0.4838210600371613,0.18927392095714438
xgboost,30,test,fatigue,precision,3,0.0,0.0
xgboost,30,test,fatigue,recall,3,0.0,0.0
xgboost,30,test,fatigue,f1,3,0.0,0.0
xgboost,30,validation,alert,precision,4,0.9055910561571737,0.024040770630863323
xgboost,30,validation,alert,recall,4,0.8871190298537985,0.02641648669073173
xgboost,30,validation,alert,f1,4,0.8959685933609565,0.016808496333760508
xgboost,30,validation,distraction,precision,4,0.2774069189867935,0.08697691288585979
xgboost,30,validation,distraction,recall,4,0.3589823955746674,0.04649579144788351
xgboost,30,validation,distraction,f1,4,0.30416634126079445,0.04278184842298543
xgboost,30,validation,fatigue,precision,4,0.0,0.0
xgboost,30,validation,fatigue,recall,4,0.0,0.0
xgboost,30,validation,fatigue,f1,4,0.0,0.0
xgboost,60,test,alert,precision,4,0.9017524034818604,0.04514940247815391
xgboost,60,test,alert,recall,4,0.9133589466584404,0.052559847846731615
xgboost,60,test,alert,f1,4,0.9066377336637889,0.0377910817595121
xgboost,60,test,distraction,precision,4,0.49822110356254895,0.23416017294955319
xgboost,60,test,distraction,recall,4,0.503133455713574,0.14857213669146072
xgboost,60,test,distraction,f1,4,0.49679363107478186,0.19326194669509242
xgboost,60,test,fatigue,precision,2,0.0,0.0
xgboost,60,test,fatigue,recall,2,0.0,0.0
xgboost,60,test,fatigue,f1,2,0.0,0.0
xgboost,60,validation,alert,precision,4,0.9076449871457138,0.027814238414994863
xgboost,60,validation,alert,recall,4,0.8989293872174264,0.03201962950052945
xgboost,60,validation,alert,f1,4,0.9028283206633781,0.018845147396768
xgboost,60,validation,distraction,precision,4,0.29520076750198276,0.11378119197140567
xgboost,60,validation,distraction,recall,4,0.34569424139051336,0.07165847238088957
xgboost,60,validation,distraction,f1,4,0.3042919267236161,0.050331333847660316
xgboost,60,validation,fatigue,precision,4,0.0,0.0
xgboost,60,validation,fatigue,recall,4,0.0,0.0
xgboost,60,validation,fatigue,f1,4,0.0,0.0
xgboost,150,test,alert,precision,4,0.8994598955101686,0.048240538400389006
xgboost,150,test,alert,recall,4,0.9253586640761272,0.04270621500016106
xgboost,150,test,alert,f1,4,0.9114195270719526,0.0345670617435581
xgboost,150,test,distraction,precision,4,0.5048527729071558,0.24958800216148766
xgboost,150,test,distraction,recall,4,0.4652492416444066,0.15955095051087526
xgboost,150,test,distraction,f1,4,0.4810308712653386,0.20176621850875762
xgboost,150,test,fatigue,precision,2,0.0,0.0
xgboost,150,test,fatigue,recall,2,0.0,0.0
xgboost,150,test,fatigue,f1,2,0.0,0.0
xgboost,150,validation,alert,precision,4,0.9110630614998618,0.02901935949068517
xgboost,150,validation,alert,recall,4,0.9166125402837038,0.031501504980632415
xgboost,150,validation,alert,f1,4,0.91329595318001,0.015834410881149966
xgboost,150,validation,distraction,precision,4,0.3097627920022439,0.11485030087944653
xgboost,150,validation,distraction,recall,4,0.31233719907246044,0.07411389692734932
xgboost,150,validation,distraction,f1,4,0.29176460436375257,0.0211106514739586
xgboost,150,validation,fatigue,precision,4,0.0,0.0
xgboost,150,validation,fatigue,recall,4,0.0,0.0
xgboost,150,validation,fatigue,f1,4,0.0,0.0
