model,window_size_frames,subset,metric,n_folds,mean,standard_deviation,minimum,maximum
svm,60,test,balanced_accuracy,4,0.5794388353981733,0.11408230076929916,0.49372322081722225,0.7459781926252924
svm,60,test,macro_f1_all_classes,4,0.45466207374508544,0.0652267820239983,0.36817033012542844,0.5057423550574236
svm,60,validation,accuracy,4,0.7950120837661617,0.02793188065616505,0.7567332754126846,0.823728813559322
svm,60,validation,balanced_accuracy,4,0.4543769576370465,0.08474872161627861,0.3927662716629301,0.5788954635108481
svm,60,validation,macro_f1_all_classes,4,0.4191023537027506,0.059257008142319115,0.379491939661849,0.506268081002893
svm,150,test,accuracy,4,0.7583196673040228,0.08793128499004584,0.643324607329843,0.8527973927213471
svm,150,test,balanced_accuracy,4,0.5451151081847452,0.14509290168184663,0.4301109376016657,0.7541267451409801
svm,150,test,macro_f1_all_classes,4,0.4158635403139291,0.06054788706136579,0.34938543386534576,0.4960505943503121
svm,150,validation,accuracy,4,0.765395185499648,0.02535095522774482,0.7484162895927602,0.8025974025974026
svm,150,validation,balanced_accuracy,4,0.37021789678273687,0.014267773263944553,0.3587535437647533,0.3910684878426814
svm,150,validation,macro_f1_all_classes,4,0.3575792313833886,0.02499768850173822,0.3380462489226312,0.39386493341788203
xgboost,30,test,accuracy,4,0.8346240753084615,0.06015465464181464,0.7592760180995475,0.8856576338400529
xgboost,30,test,balanced_accuracy,4,0.5317603181768185,0.16792333636615533,0.3800605791962175,0.7692126153186012
xgboost,30,test,macro_f1_all_classes,4,0.46201762042380307,0.06910655462820109,0.3693698686371101,0.5151573103380332
xgboost,30,validation,accuracy,4,0.8189948378039275,0.025026628404596653,0.7832469775474957,0.8388185654008439
xgboost,30,validation,balanced_accuracy,4,0.41536714180948864,0.013290503552221696,0.401044151163407,0.4331626679367347
xgboost,30,validation,macro_f1_all_classes,4,0.4000449782072503,0.014389824179635287,0.38594019427620235,0.4186359020891395
xgboost,60,test,accuracy,4,0.8425917683314065,0.05935781193884367,0.7698630136986301,0.896
xgboost,60,test,balanced_accuracy,4,0.585195440563466,0.13744468851253194,0.46434232068833386,0.7795050216922331
xgboost,60,test,macro_f1_all_classes,4,0.46781045491285694,0.06965539875430743,0.3742024377318495,0.5214946105104508
xgboost,60,validation,accuracy,4,0.8295540703947832,0.02908027348536475,0.788010425716768,0.8516949152542372
xgboost,60,validation,balanced_accuracy,4,0.41487454286931325,0.02111608933467241,0.3919522436923953,0.44311319718928416
xgboost,60,validation,macro_f1_all_classes,4,0.40237341579566477,0.018848097196260776,0.38611902815521826,0.4236749892471177
xgboost,150,test,accuracy,4,0.8501537084757522,0.05365704598172643,0.7927509293680297,0.8962520369364476
xgboost,150,test,balanced_accuracy,4,0.5767144321494858,0.14741472213549567,0.43961342640587925,0.7812266173920979
xgboost,150,test,macro_f1_all_classes,4,0.4641501327790971,0.06995221125967721,0.37794507204864086,0.5278629927989112
xgboost,150,validation,accuracy,4,0.8456966611256672,0.024733836069726952,0.8124444444444444,0.8672413793103448
xgboost,150,validation,balanced_accuracy,4,0.40964991311872145,0.016506097865176633,0.3937722668905465,0.42927332148889036
xgboost,150,validation,macro_f1_all_classes,4,0.40168685251458747,0.005827820198742388,0.39587927956311697,0.40757009596273774
