model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,representation,window_size_frames,seed,balancing
xgboost,r0_flat,2,test,fatigue,,,,0,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,test,distraction,0.6258741258741258,0.6067796610169491,0.6161790017211703,295,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,validation,alert,0.8022922636103151,0.28197381671701915,0.4172876304023845,993,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,validation,fatigue,0.0,0.0,0.0,13,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,validation,distraction,0.11138613861386139,0.5921052631578947,0.1875,152,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,test,alert,0.6122448979591837,0.087527352297593,0.15315890236119975,1371,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,test,fatigue,0.0,0.0,0.0,25,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,test,distraction,0.0349809885931559,0.39316239316239315,0.06424581005586592,117,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,validation,alert,0.8822269807280514,0.8298086606243706,0.855215360664245,993,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,validation,fatigue,0.0,0.0,0.0,13,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,validation,distraction,0.24537037037037038,0.34868421052631576,0.28804347826086957,152,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,test,alert,0.9457364341085271,0.8898614150255288,0.9169485155956407,1371,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,test,fatigue,0.0,0.0,0.0,25,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,test,distraction,0.3106796116504854,0.5470085470085471,0.39628482972136225,117,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
