model,ablation,fold,subset,actual,predicted,count,run_id,generation,representation,window_size_frames,seed,balancing
xgboost,r0_flat,1,test,fatigue,distraction,24,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,test,distraction,alert,145,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,test,distraction,fatigue,0,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,1,test,distraction,distraction,234,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,validation,alert,alert,248,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,validation,alert,fatigue,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,validation,alert,distraction,838,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,validation,fatigue,alert,8,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,validation,fatigue,fatigue,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,validation,fatigue,distraction,12,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,validation,distraction,alert,29,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,validation,distraction,fatigue,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,validation,distraction,distraction,50,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,alert,alert,121,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,alert,fatigue,1,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,alert,distraction,1458,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,fatigue,alert,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,fatigue,fatigue,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,fatigue,distraction,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,distraction,alert,194,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,distraction,fatigue,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,distraction,distraction,101,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,alert,alert,960,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,alert,fatigue,10,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,alert,distraction,116,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,fatigue,alert,19,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,fatigue,fatigue,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,fatigue,distraction,1,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,distraction,alert,53,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,distraction,fatigue,1,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,distraction,distraction,25,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,test,alert,alert,1463,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,test,alert,fatigue,8,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,test,alert,distraction,109,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
