model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,representation,window_size_frames,seed,balancing
random_forest,r0_flat,2,validation,1173,0.8397271952259164,0.41002274204028594,0.3816551594329372,0.3816551594329372,"[""alert"", ""fatigue"", ""distraction""]",[],0.9903904999991937,True,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,2,test,1864,0.8873390557939914,0.7804598275483757,0.7843961505922166,0.5229307670614777,"[""alert"", ""distraction""]","[""fatigue""]",0.9903904999991937,True,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,2,validation,1173,0.8473998294970162,0.4128005198180637,0.38611902815521826,0.38611902815521826,"[""alert"", ""fatigue"", ""distraction""]",[],1.8056166999995185,True,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,2,test,1864,0.8857296137339056,0.7795050216922331,0.7822419157656761,0.5214946105104508,"[""alert"", ""distraction""]","[""fatigue""]",1.8056166999995185,True,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,3,validation,1151,0.15377932232841007,0.25764789372401203,0.11780387058868014,0.11780387058868014,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,3,test,1500,0.048666666666666664,0.15911769487116964,0.03791962327975197,0.03791962327975197,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,3,validation,1151,0.7567332754126846,0.3927662716629301,0.3844486634190374,0.3844486634190374,"[""alert"", ""fatigue"", ""distraction""]",[],17.180193399999553,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,3,test,1500,0.8493333333333334,0.49372322081722225,0.4403787708797944,0.4403787708797944,"[""alert"", ""fatigue"", ""distraction""]",[],17.180193399999553,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,3,validation,1151,0.7958297132927888,0.39499484004127966,0.3913354296003655,0.3913354296003655,"[""alert"", ""fatigue"", ""distraction""]",[],1.114797299997008,True,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,3,test,1500,0.8966666666666666,0.4618538161424042,0.4543552379617954,0.4543552379617954,"[""alert"", ""fatigue"", ""distraction""]",[],1.114797299997008,True,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,3,validation,1151,0.788010425716768,0.3919522436923953,0.3869066178701496,0.3869066178701496,"[""alert"", ""fatigue"", ""distraction""]",[],1.3391815000031784,True,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,3,test,1500,0.896,0.46434232068833386,0.4552591812930289,0.4552591812930289,"[""alert"", ""fatigue"", ""distraction""]",[],1.3391815000031784,True,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,4,validation,1125,0.10933333333333334,0.21064868635201117,0.08214842390783349,0.08214842390783349,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none
