run_id,generation,model,representation,window_size_frames,fold,seed,balancing,train_seconds,resumed_checkpoint,validation_num_windows,validation_accuracy,validation_balanced_accuracy,validation_macro_f1_present_classes,validation_macro_f1_all_classes,test_num_windows,test_accuracy,test_balanced_accuracy,test_macro_f1_present_classes,test_macro_f1_all_classes
G1__qualification_r0_flat__svm__r0_flat__w30__fold_4__seed_42,G1,svm,R0_flat,30,4,42,none,8.725825100002112,True,1137,0.8170624450307827,0.43793203812850184,0.4081869135335978,0.4081869135335978,1105,0.7592760180995475,0.3800605791962175,0.37194708633835605,0.37194708633835605
G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,svm,R0_flat,60,1,42,none,4.972631199998432,True,1180,0.823728813559322,0.5788954635108481,0.506268081002893,0.506268081002893,1534,0.7913950456323338,0.5203782205494335,0.5057423550574236,0.5057423550574236
G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,svm,R0_flat,60,2,42,none,13.340794799998548,True,1173,0.8013640238704177,0.4113557313763712,0.379491939661849,0.379491939661849,1864,0.8572961373390557,0.7459781926252924,0.7565352583765431,0.5043568389176954
G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,svm,R0_flat,60,3,42,none,17.180193399999553,True,1151,0.7567332754126846,0.3927662716629301,0.3844486634190374,0.3844486634190374,1500,0.8493333333333334,0.49372322081722225,0.4403787708797944,0.4403787708797944
G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,G1,svm,R0_flat,60,4,42,none,13.603763699997216,True,1125,0.7982222222222223,0.43449036399803664,0.4062007307272231,0.4062007307272231,1095,0.7579908675799086,0.5576757076007451,0.5522554951881427,0.36817033012542844
G1__qualification_r0_flat__xgboost__r0_flat__w150__fold_1__seed_42,G1,xgboost,R0_flat,150,1,42,none,2.2949417999989237,True,1155,0.8614718614718615,0.3937722668905465,0.40757009596273774,0.40757009596273774,1528,0.8160994764397905,0.5091027392803696,0.5137129723387499,0.5137129723387499
G1__qualification_r0_flat__xgboost__r0_flat__w150__fold_2__seed_42,G1,xgboost,R0_flat,150,2,42,none,2.539412000001903,True,1160,0.8672413793103448,0.41708188635562937,0.39587927956311697,0.39587927956311697,1841,0.8962520369364476,0.7812266173920979,0.7917944891983669,0.5278629927989112
G1__qualification_r0_flat__xgboost__r0_flat__w150__fold_3__seed_42,G1,xgboost,R0_flat,150,3,42,none,2.106704099998751,True,1125,0.8124444444444444,0.39847217773981947,0.3975534620695911,0.3975534620695911,1493,0.8955123911587408,0.43961342640587925,0.4370794939300863,0.4370794939300863
G1__qualification_r0_flat__xgboost__r0_flat__w150__fold_4__seed_42,G1,xgboost,R0_flat,150,4,42,none,2.5793521000014152,True,1105,0.8416289592760181,0.42927332148889036,0.40574457246290413,0.40574457246290413,1076,0.7927509293680297,0.5769149455195967,0.5669176080729613,0.37794507204864086
G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_1__seed_42,G1,xgboost,R0_flat,30,1,42,none,1.5012863000010839,True,1194,0.8333333333333334,0.412617367411888,0.4186359020891395,0.4186359020891395,1535,0.8130293159609121,0.5164665140462518,0.5144769387458169,0.5144769387458169
G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,xgboost,R0_flat,30,2,42,none,1.4953585999974166,True,1185,0.8388185654008439,0.41464438072592485,0.38594019427620235,0.38594019427620235,1875,0.8805333333333333,0.7692126153186012,0.7727359655070498,0.5151573103380332
G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_3__seed_42,G1,xgboost,R0_flat,30,3,42,none,1.2696256000017456,True,1158,0.7832469775474957,0.401044151163407,0.3920325489342371,0.3920325489342371,1513,0.8856576338400529,0.4613015641462031,0.44906636397425204,0.44906636397425204
G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_4__seed_42,G1,xgboost,R0_flat,30,4,42,none,1.4426293999968038,True,1137,0.820580474934037,0.4331626679367347,0.40357126752942235,0.40357126752942235,1105,0.7592760180995475,0.3800605791962175,0.3693698686371101,0.3693698686371101
G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_1__seed_42,G1,xgboost,R0_flat,60,1,42,none,1.523636700003408,True,1180,0.8516949152542372,0.41163221077750994,0.4236749892471177,0.4236749892471177,1534,0.81877444589309,0.5200637642919964,0.5202855901160985,0.5202855901160985
G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_2__seed_42,G1,xgboost,R0_flat,60,2,42,none,1.8056166999995185,True,1173,0.8473998294970162,0.4128005198180637,0.38611902815521826,0.38611902815521826,1864,0.8857296137339056,0.7795050216922331,0.7822419157656761,0.5214946105104508
G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_3__seed_42,G1,xgboost,R0_flat,60,3,42,none,1.3391815000031784,True,1151,0.788010425716768,0.3919522436923953,0.3869066178701496,0.3869066178701496,1500,0.896,0.46434232068833386,0.4552591812930289,0.4552591812930289
G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_4__seed_42,G1,xgboost,R0_flat,60,4,42,none,1.6879581999965012,True,1125,0.8311111111111111,0.44311319718928416,0.4127930279101734,0.4127930279101734,1095,0.7698630136986301,0.5768706555813002,0.5613036565977743,0.3742024377318495
