ablation,configuration_id,f1,fold,generation,label,model,precision,recall,representation,run_id,seed,subset,support,window_size_frames
temporal_r0,qualification_r0_w60_b1024,0.0,3,G2,fatigue,lstm,0.0,0.0,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,test,21,60
temporal_r0,qualification_r0_w60_b1024,0.4357976653696498,3,G2,distraction,lstm,0.38620689655172413,0.5,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,test,112,60
temporal_r0,qualification_r0_w60_b1024,0.8700155359917141,3,G2,alert,tcn,0.8888888888888888,0.8519269776876268,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,42,validation,986,60
temporal_r0,qualification_r0_w60_b1024,0.0,3,G2,fatigue,tcn,0.0,0.0,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,42,validation,13,60
temporal_r0,qualification_r0_w60_b1024,0.33519553072625696,3,G2,distraction,tcn,0.2912621359223301,0.39473684210526316,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,42,validation,152,60
temporal_r0,qualification_r0_w60_b1024,0.9408740359897172,3,G2,alert,tcn,0.9446902654867256,0.9370885149963424,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,42,test,1367,60
temporal_r0,qualification_r0_w60_b1024,0.0,3,G2,fatigue,tcn,0.0,0.0,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,42,test,21,60
temporal_r0,qualification_r0_w60_b1024,0.4375,3,G2,distraction,tcn,0.3888888888888889,0.5,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,42,test,112,60
temporal_r0,qualification_r0_w60_b1024,0.8689798032107716,3,G2,alert,transformer,0.8878306878306879,0.8509127789046653,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_3__seed_42,42,validation,986,60
temporal_r0,qualification_r0_w60_b1024,0.0,3,G2,fatigue,transformer,0.0,0.0,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_3__seed_42,42,validation,13,60
