model,window_size_frames,subset,metric,n_folds,mean,standard_deviation,minimum,maximum
tcn,30,validation,accuracy,4,0.8235349426415149,0.038811343753108185,0.772020725388601,0.8649789029535865
tcn,30,validation,balanced_accuracy,4,0.42102272343701314,0.018722626385461922,0.40782406671260224,0.4478478299696374
tcn,30,validation,macro_f1_all_classes,4,0.4065190851314144,0.015039995779410838,0.39323755263809756,0.42021622443488155
tcn,60,test,accuracy,4,0.8444241378691839,0.059954374361580284,0.765296803652968,0.8913333333333333
tcn,60,test,balanced_accuracy,4,0.5898795585268923,0.11916315390708611,0.4790295049987808,0.7587697668709523
tcn,60,test,macro_f1_all_classes,4,0.4716167169726168,0.07626019396257507,0.3691134200040496,0.5393976990103332
tcn,60,validation,accuracy,4,0.8346099197360846,0.03970609398863387,0.7819287576020851,0.8772378516624041
tcn,60,validation,balanced_accuracy,4,0.42547970150132686,0.029112377821660325,0.3950617283950617,0.4644268774703557
tcn,60,validation,macro_f1_all_classes,4,0.41246276388059033,0.02114868327982445,0.38791986407513207,0.43120758315104607
tcn,150,test,accuracy,4,0.8533312649624851,0.06010029038219114,0.7713754646840149,0.9022270505160239
tcn,150,test,balanced_accuracy,4,0.5794785026385644,0.12791230330144304,0.4565277489805792,0.7584930194360799
tcn,150,test,macro_f1_all_classes,4,0.469585500689871,0.08886778327705998,0.354272442093486,0.5518076215750635
tcn,150,validation,accuracy,4,0.8495714677479383,0.04431521321925226,0.792,0.9
tcn,150,validation,balanced_accuracy,4,0.40768682164853814,0.03419697863322776,0.3701578673645713,0.45091501977729526
tcn,150,validation,macro_f1_all_classes,4,0.40316882409225113,0.026030043079153093,0.37381364604096046,0.42510647195413176
transformer,30,test,accuracy,4,0.8152698503997953,0.07724461437779478,0.7361563517915309,0.8858666666666667
transformer,30,test,balanced_accuracy,4,0.5330941029927344,0.16961763063841964,0.38110224586288416,0.775134091396696
transformer,30,test,macro_f1_all_classes,4,0.45503882154164643,0.06352266073812463,0.37070946492360807,0.5203498039627529
transformer,30,validation,accuracy,4,0.822471777162308,0.03213687481247979,0.7754749568221071,0.8481012658227848
transformer,30,validation,balanced_accuracy,4,0.42182955059825217,0.01786667369781065,0.4091667991731595,0.44752039054593085
transformer,30,validation,macro_f1_all_classes,4,0.4062040477410283,0.0179273136510536,0.3870307287713786,0.4243896479786495
transformer,60,test,accuracy,4,0.8287509076476602,0.0723414188640395,0.7607561929595827,0.892
transformer,60,test,balanced_accuracy,4,0.6001559415472646,0.1302685283284017,0.4765410004528512,0.783757655283585
transformer,60,test,macro_f1_all_classes,4,0.4827756954299443,0.08534200260258945,0.37512194290728934,0.5710453682939453
transformer,60,validation,accuracy,4,0.8281263122371052,0.03274748523089535,0.7801911381407471,0.8542199488491049
transformer,60,validation,balanced_accuracy,4,0.42254642089164557,0.024628135958060966,0.40324348016655714,0.4586489898989899
transformer,60,validation,macro_f1_all_classes,4,0.4064921539951962,0.014614696841493658,0.39062692928581555,0.4242318385503549
transformer,150,test,accuracy,4,0.8495459909436015,0.05508710762625615,0.7797397769516728,0.8948425987943738
transformer,150,test,balanced_accuracy,4,0.577271383311184,0.14890807699406575,0.44807058769322916,0.7921126471393376
transformer,150,test,macro_f1_all_classes,4,0.46389795560016356,0.08500372978404383,0.3527387078963939,0.5326557684054466
transformer,150,validation,accuracy,4,0.8414486882286071,0.02767362729327029,0.8,0.8571428571428571
transformer,150,validation,balanced_accuracy,4,0.4232132133837291,0.032027677691560355,0.39365621626751124,0.4540574093646719
transformer,150,validation,macro_f1_all_classes,4,0.4080688231873264,0.01359118835778983,0.39020915706836284,0.42321963962359366
