ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,alert,qualification_r0_w30_b1024,1490,2,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,0,2,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,90,2,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,122,2,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,2,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,173,2,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,1001,2,G2,tcn,alert,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,0,2,G2,tcn,fatigue,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,85,2,G2,tcn,distraction,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,20,2,G2,tcn,alert,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,tcn,fatigue,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,validation,30
