model,ablation,fold,subset,actual,predicted,count
xgboost,facial_only,4,validation,distraction,distraction,47
xgboost,facial_only,4,test,alert,alert,743
xgboost,facial_only,4,test,alert,fatigue,12
xgboost,facial_only,4,test,alert,distraction,202
xgboost,facial_only,4,test,fatigue,alert,0
xgboost,facial_only,4,test,fatigue,fatigue,0
xgboost,facial_only,4,test,fatigue,distraction,0
xgboost,facial_only,4,test,distraction,alert,74
xgboost,facial_only,4,test,distraction,fatigue,2
xgboost,facial_only,4,test,distraction,distraction,62
svm,facial_plus_missingness,1,validation,alert,alert,780
svm,facial_plus_missingness,1,validation,alert,fatigue,54
svm,facial_plus_missingness,1,validation,alert,distraction,180
svm,facial_plus_missingness,1,validation,fatigue,alert,0
svm,facial_plus_missingness,1,validation,fatigue,fatigue,2
svm,facial_plus_missingness,1,validation,fatigue,distraction,2
svm,facial_plus_missingness,1,validation,distraction,alert,73
svm,facial_plus_missingness,1,validation,distraction,fatigue,8
svm,facial_plus_missingness,1,validation,distraction,distraction,81
svm,facial_plus_missingness,1,test,alert,alert,787
svm,facial_plus_missingness,1,test,alert,fatigue,114
svm,facial_plus_missingness,1,test,alert,distraction,187
svm,facial_plus_missingness,1,test,fatigue,alert,34
svm,facial_plus_missingness,1,test,fatigue,fatigue,4
svm,facial_plus_missingness,1,test,fatigue,distraction,29
svm,facial_plus_missingness,1,test,distraction,alert,88
svm,facial_plus_missingness,1,test,distraction,fatigue,32
svm,facial_plus_missingness,1,test,distraction,distraction,259
random_forest,facial_plus_missingness,1,validation,alert,alert,945
random_forest,facial_plus_missingness,1,validation,alert,fatigue,0
random_forest,facial_plus_missingness,1,validation,alert,distraction,69
random_forest,facial_plus_missingness,1,validation,fatigue,alert,4
random_forest,facial_plus_missingness,1,validation,fatigue,fatigue,0
random_forest,facial_plus_missingness,1,validation,fatigue,distraction,0
random_forest,facial_plus_missingness,1,validation,distraction,alert,111
random_forest,facial_plus_missingness,1,validation,distraction,fatigue,0
random_forest,facial_plus_missingness,1,validation,distraction,distraction,51
random_forest,facial_plus_missingness,1,test,alert,alert,1015
