model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint
svm,missingness_only,1,test,1534,0.7737940026075619,0.5781254946746942,0.5623151888023276,0.5623151888023276,"[""alert"", ""fatigue"", ""distraction""]",[],0.30984650000027614,False
random_forest,missingness_only,1,validation,1180,0.7864406779661017,0.40706650108359516,0.3997714477868127,0.3997714477868127,"[""alert"", ""fatigue"", ""distraction""]",[],1.0518776000008074,False
random_forest,missingness_only,1,test,1534,0.7926988265971316,0.5245971200377131,0.5217837694164399,0.5217837694164399,"[""alert"", ""fatigue"", ""distraction""]",[],1.0518776000008074,False
xgboost,missingness_only,1,validation,1180,0.7508474576271187,0.407090851535296,0.398178829534219,0.398178829534219,"[""alert"", ""fatigue"", ""distraction""]",[],1.3536093000002438,False
xgboost,missingness_only,1,test,1534,0.7985658409387223,0.5731341666840406,0.5659240132466143,0.5659240132466143,"[""alert"", ""fatigue"", ""distraction""]",[],1.3536093000002438,False
svm,missingness_only,2,validation,1173,0.7271952259164536,0.3793391430646333,0.3617721420384685,0.3617721420384685,"[""alert"", ""fatigue"", ""distraction""]",[],0.2199979999986681,False
svm,missingness_only,2,test,1864,0.822961373390558,0.7200561369358879,0.7630202685384175,0.5086801790256117,"[""alert"", ""distraction""]","[""fatigue""]",0.2199979999986681,False
random_forest,missingness_only,2,validation,1173,0.7817561807331628,0.4094217024041586,0.369234441048959,0.369234441048959,"[""alert"", ""fatigue"", ""distraction""]",[],1.0057113000002573,False
random_forest,missingness_only,2,test,1864,0.8551502145922747,0.7696930065630683,0.7614070323328902,0.5076046882219268,"[""alert"", ""distraction""]","[""fatigue""]",1.0057113000002573,False
xgboost,missingness_only,2,validation,1173,0.7519181585677749,0.3986192332683561,0.3768218571543767,0.3768218571543767,"[""alert"", ""fatigue"", ""distraction""]",[],1.6025061000000278,False
xgboost,missingness_only,2,test,1864,0.8379828326180258,0.7442380345120496,0.7590117834294681,0.5060078556196453,"[""alert"", ""distraction""]","[""fatigue""]",1.6025061000000278,False
svm,missingness_only,3,validation,1151,0.6750651607298002,0.33130938400768656,0.35676158368952304,0.35676158368952304,"[""alert"", ""fatigue"", ""distraction""]",[],0.2208444000007148,False
svm,missingness_only,3,test,1500,0.806,0.5889177726686871,0.451723090620616,0.451723090620616,"[""alert"", ""fatigue"", ""distraction""]",[],0.2208444000007148,False
random_forest,missingness_only,3,validation,1151,0.7445699391833188,0.3991628411800292,0.3874167699297811,0.3874167699297811,"[""alert"", ""fatigue"", ""distraction""]",[],1.0351597000008042,False
random_forest,missingness_only,3,test,1500,0.8646666666666667,0.47397556925720785,0.4506560372031225,0.4506560372031225,"[""alert"", ""fatigue"", ""distraction""]",[],1.0351597000008042,False
xgboost,missingness_only,3,validation,1151,0.7011294526498697,0.3507259528130671,0.36867718101733454,0.36867718101733454,"[""alert"", ""fatigue"", ""distraction""]",[],1.0733491000009963,False
xgboost,missingness_only,3,test,1500,0.8333333333333334,0.4848113410201926,0.4476845729024414,0.4476845729024414,"[""alert"", ""fatigue"", ""distraction""]",[],1.0733491000009963,False
svm,missingness_only,4,validation,1125,0.7422222222222222,0.4015894236482472,0.38388465260934895,0.38388465260934895,"[""alert"", ""fatigue"", ""distraction""]",[],0.2669872000005853,False
svm,missingness_only,4,test,1095,0.6365296803652968,0.4540797782926719,0.49703935765436147,0.3313595717695743,"[""alert"", ""distraction""]","[""fatigue""]",0.2669872000005853,False
random_forest,missingness_only,4,validation,1125,0.7946666666666666,0.4421799516908213,0.407060853158234,0.407060853158234,"[""alert"", ""fatigue"", ""distraction""]",[],1.0644132000015816,False
random_forest,missingness_only,4,test,1095,0.7114155251141553,0.5651378856026532,0.5463261247751339,0.36421741651675593,"[""alert"", ""distraction""]","[""fatigue""]",1.0644132000015816,False
xgboost,missingness_only,4,validation,1125,0.7555555555555555,0.38683025911286784,0.3908523908523909,0.3908523908523909,"[""alert"", ""fatigue"", ""distraction""]",[],1.1154212999990705,False
xgboost,missingness_only,4,test,1095,0.6584474885844749,0.485223297442188,0.5147540983606558,0.34316939890710385,"[""alert"", ""distraction""]","[""fatigue""]",1.1154212999990705,False
