fold,window_size_frames,subset,actual,predicted,count
2,60,test,distraction,fatigue,0
2,60,test,distraction,distraction,0
3,60,validation,alert,alert,986
3,60,validation,alert,fatigue,0
3,60,validation,alert,distraction,0
3,60,validation,fatigue,alert,13
3,60,validation,fatigue,fatigue,0
3,60,validation,fatigue,distraction,0
3,60,validation,distraction,alert,152
3,60,validation,distraction,fatigue,0
3,60,validation,distraction,distraction,0
3,60,test,alert,alert,1367
3,60,test,alert,fatigue,0
3,60,test,alert,distraction,0
3,60,test,fatigue,alert,21
3,60,test,fatigue,fatigue,0
3,60,test,fatigue,distraction,0
3,60,test,distraction,alert,112
3,60,test,distraction,fatigue,0
3,60,test,distraction,distraction,0
4,60,validation,alert,alert,1012
4,60,validation,alert,fatigue,0
4,60,validation,alert,distraction,0
4,60,validation,fatigue,alert,17
4,60,validation,fatigue,fatigue,0
4,60,validation,fatigue,distraction,0
4,60,validation,distraction,alert,96
4,60,validation,distraction,fatigue,0
4,60,validation,distraction,distraction,0
4,60,test,alert,alert,957
4,60,test,alert,fatigue,0
4,60,test,alert,distraction,0
4,60,test,fatigue,alert,0
4,60,test,fatigue,fatigue,0
4,60,test,fatigue,distraction,0
4,60,test,distraction,alert,138
4,60,test,distraction,fatigue,0
4,60,test,distraction,distraction,0
1,150,validation,alert,alert,999
1,150,validation,alert,fatigue,0
1,150,validation,alert,distraction,0
1,150,validation,fatigue,alert,1
1,150,validation,fatigue,fatigue,0
1,150,validation,fatigue,distraction,0
1,150,validation,distraction,alert,155
1,150,validation,distraction,fatigue,0
1,150,validation,distraction,distraction,0
1,150,test,alert,alert,1090
1,150,test,alert,fatigue,0
1,150,test,alert,distraction,0
1,150,test,fatigue,alert,62
1,150,test,fatigue,fatigue,0
1,150,test,fatigue,distraction,0
1,150,test,distraction,alert,376
1,150,test,distraction,fatigue,0
1,150,test,distraction,distraction,0
2,150,validation,alert,alert,1074
2,150,validation,alert,fatigue,0
2,150,validation,alert,distraction,0
2,150,validation,fatigue,alert,12
2,150,validation,fatigue,fatigue,0
2,150,validation,fatigue,distraction,0
2,150,validation,distraction,alert,74
2,150,validation,distraction,fatigue,0
2,150,validation,distraction,distraction,0
2,150,test,alert,alert,1560
2,150,test,alert,fatigue,0
2,150,test,alert,distraction,0
2,150,test,fatigue,alert,0
2,150,test,fatigue,fatigue,0
2,150,test,fatigue,distraction,0
2,150,test,distraction,alert,281
2,150,test,distraction,fatigue,0
2,150,test,distraction,distraction,0
3,150,validation,alert,alert,969
3,150,validation,alert,fatigue,0
3,150,validation,alert,distraction,0
3,150,validation,fatigue,alert,11
3,150,validation,fatigue,fatigue,0
3,150,validation,fatigue,distraction,0
3,150,validation,distraction,alert,145
3,150,validation,distraction,fatigue,0
3,150,validation,distraction,distraction,0
3,150,test,alert,alert,1365
3,150,test,alert,fatigue,0
3,150,test,alert,distraction,0
3,150,test,fatigue,alert,22
3,150,test,fatigue,fatigue,0
3,150,test,fatigue,distraction,0
3,150,test,distraction,alert,106
3,150,test,distraction,fatigue,0
3,150,test,distraction,distraction,0
4,150,validation,alert,alert,1002
4,150,validation,alert,fatigue,0
4,150,validation,alert,distraction,0
4,150,validation,fatigue,alert,12
4,150,validation,fatigue,fatigue,0
4,150,validation,fatigue,distraction,0
4,150,validation,distraction,alert,91
4,150,validation,distraction,fatigue,0
4,150,validation,distraction,distraction,0
4,150,test,alert,alert,946
4,150,test,alert,fatigue,0
4,150,test,alert,distraction,0
4,150,test,fatigue,alert,0
4,150,test,fatigue,fatigue,0
4,150,test,fatigue,distraction,0
4,150,test,distraction,alert,130
4,150,test,distraction,fatigue,0
4,150,test,distraction,distraction,0
