model,ablation,fold,subset,label,precision,recall,f1,support
xgboost,facial_plus_missingness,2,validation,fatigue,0.0,0.0,0.0,17
xgboost,facial_plus_missingness,2,validation,distraction,0.19796954314720813,0.5131578947368421,0.2857142857142857,76
xgboost,facial_plus_missingness,2,test,alert,0.9346701164294955,0.9197963080840229,0.9271735643246711,1571
xgboost,facial_plus_missingness,2,test,fatigue,,,,0
xgboost,facial_plus_missingness,2,test,distraction,0.6245847176079734,0.6416382252559727,0.632996632996633,293
svm,facial_plus_missingness,3,validation,alert,0.892018779342723,0.77079107505071,0.8269858541893362,986
svm,facial_plus_missingness,3,validation,fatigue,0.014925373134328358,0.07692307692307693,0.025,13
svm,facial_plus_missingness,3,validation,distraction,0.2801724137931034,0.4276315789473684,0.3385416666666667,152
svm,facial_plus_missingness,3,test,alert,0.9593114241001565,0.8968544257498171,0.9270321361058601,1367
svm,facial_plus_missingness,3,test,fatigue,0.0,0.0,0.0,21
svm,facial_plus_missingness,3,test,distraction,0.3480392156862745,0.6339285714285714,0.44936708860759494,112
random_forest,facial_plus_missingness,3,validation,alert,0.8851148851148851,0.8985801217038539,0.8917966784096628,986
random_forest,facial_plus_missingness,3,validation,fatigue,0.0,0.0,0.0,13
random_forest,facial_plus_missingness,3,validation,distraction,0.3401360544217687,0.32894736842105265,0.33444816053511706,152
random_forest,facial_plus_missingness,3,test,alert,0.9380403458213257,0.9524506217995611,0.9451905626134302,1367
random_forest,facial_plus_missingness,3,test,fatigue,0.0,0.0,0.0,21
random_forest,facial_plus_missingness,3,test,distraction,0.4107142857142857,0.4107142857142857,0.4107142857142857,112
xgboost,facial_plus_missingness,3,validation,alert,0.8895089285714286,0.808316430020284,0.8469713071200851,986
xgboost,facial_plus_missingness,3,validation,fatigue,0.0,0.0,0.0,13
xgboost,facial_plus_missingness,3,validation,distraction,0.26778242677824265,0.42105263157894735,0.3273657289002558,152
xgboost,facial_plus_missingness,3,test,alert,0.9536826119969628,0.9188002926115582,0.9359165424739195,1367
xgboost,facial_plus_missingness,3,test,fatigue,0.0,0.0,0.0,21
xgboost,facial_plus_missingness,3,test,distraction,0.37777777777777777,0.6071428571428571,0.4657534246575342,112
svm,facial_plus_missingness,4,validation,alert,0.9315849486887116,0.8073122529644269,0.86500794070937,1012
svm,facial_plus_missingness,4,validation,fatigue,0.0425531914893617,0.11764705882352941,0.0625,17
svm,facial_plus_missingness,4,validation,distraction,0.208955223880597,0.4375,0.2828282828282828,96
svm,facial_plus_missingness,4,test,alert,0.9053030303030303,0.7492163009404389,0.8198970840480274,957
svm,facial_plus_missingness,4,test,fatigue,,,,0
svm,facial_plus_missingness,4,test,distraction,0.24180327868852458,0.427536231884058,0.3089005235602094,138
random_forest,facial_plus_missingness,4,validation,alert,0.9305699481865285,0.8873517786561265,0.9084471421345472,1012
random_forest,facial_plus_missingness,4,validation,fatigue,0.0,0.0,0.0,17
random_forest,facial_plus_missingness,4,validation,distraction,0.2929936305732484,0.4791666666666667,0.36363636363636365,96
random_forest,facial_plus_missingness,4,test,alert,0.8974358974358975,0.8411703239289446,0.8683926645091694,957
random_forest,facial_plus_missingness,4,test,fatigue,,,,0
random_forest,facial_plus_missingness,4,test,distraction,0.23232323232323232,0.3333333333333333,0.27380952380952384,138
xgboost,facial_plus_missingness,4,validation,alert,0.9331797235023042,0.8003952569169961,0.8617021276595744,1012
xgboost,facial_plus_missingness,4,validation,fatigue,0.025974025974025976,0.11764705882352941,0.0425531914893617,17
xgboost,facial_plus_missingness,4,validation,distraction,0.26666666666666666,0.5,0.34782608695652173,96
xgboost,facial_plus_missingness,4,test,alert,0.9025032938076416,0.7157784743991641,0.7983682983682984,957
xgboost,facial_plus_missingness,4,test,fatigue,,,,0
xgboost,facial_plus_missingness,4,test,distraction,0.2170212765957447,0.3695652173913043,0.2734584450402145,138
svm,missingness_only,1,validation,alert,0.9145496535796767,0.7810650887573964,0.8425531914893617,1014
svm,missingness_only,1,validation,fatigue,0.016129032258064516,0.5,0.03125,4
svm,missingness_only,1,validation,distraction,0.3473684210526316,0.4074074074074074,0.375,162
svm,missingness_only,1,test,alert,0.9000979431929481,0.8446691176470589,0.8715030820293979,1088
svm,missingness_only,1,test,fatigue,0.11278195488721804,0.22388059701492538,0.15,67
svm,missingness_only,1,test,distraction,0.6631578947368421,0.6649076517150396,0.6640316205533597,379
random_forest,missingness_only,1,validation,alert,0.897196261682243,0.8520710059171598,0.874051593323217,1014
random_forest,missingness_only,1,validation,fatigue,0.0,0.0,0.0,4
random_forest,missingness_only,1,validation,distraction,0.3047619047619048,0.3950617283950617,0.34408602150537637,162
random_forest,missingness_only,1,test,alert,0.852603706972639,0.8878676470588235,0.869878433138226,1088
random_forest,missingness_only,1,test,fatigue,0.14285714285714285,0.029850746268656716,0.04938271604938271,67
random_forest,missingness_only,1,test,distraction,0.6330749354005168,0.6464379947229552,0.639686684073107,379
xgboost,missingness_only,1,validation,alert,0.9049723756906077,0.8076923076923077,0.8535695674830641,1014
xgboost,missingness_only,1,validation,fatigue,0.0,0.0,0.0,4
xgboost,missingness_only,1,validation,distraction,0.30493273542600896,0.41975308641975306,0.35324675324675325,162
xgboost,missingness_only,1,test,alert,0.9051306873184899,0.859375,0.8816595945308816,1088
xgboost,missingness_only,1,test,fatigue,0.1836734693877551,0.13432835820895522,0.15517241379310345,67
xgboost,missingness_only,1,test,distraction,0.6371681415929203,0.7598944591029023,0.6931407942238267,379
svm,missingness_only,2,validation,alert,0.9497716894977168,0.7703703703703704,0.8507157464212679,1080
svm,missingness_only,2,validation,fatigue,0.012578616352201259,0.11764705882352941,0.022727272727272728,17
svm,missingness_only,2,validation,distraction,0.1956521739130435,0.35526315789473684,0.2523364485981308,76
svm,missingness_only,2,test,alert,0.938229238160604,0.8701464035646085,0.9029062087186261,1571
svm,missingness_only,2,test,fatigue,,,,0
svm,missingness_only,2,test,distraction,0.6559139784946236,0.6245733788395904,0.6398601398601399,293
random_forest,missingness_only,2,validation,alert,0.9477777777777778,0.7898148148148149,0.8616161616161616,1080
random_forest,missingness_only,2,validation,fatigue,0.0,0.0,0.0,17
random_forest,missingness_only,2,validation,distraction,0.19387755102040816,0.5,0.27941176470588236,76
random_forest,missingness_only,2,test,alert,0.9372869802317655,0.8752387014640356,0.9052007899934167,1571
random_forest,missingness_only,2,test,fatigue,,,,0
random_forest,missingness_only,2,test,distraction,0.5621301775147929,0.6484641638225256,0.6022187004754358,293
xgboost,missingness_only,2,validation,alert,0.9479512735326688,0.7925925925925926,0.8633383761976803,1080
xgboost,missingness_only,2,validation,fatigue,0.0,0.0,0.0,17
xgboost,missingness_only,2,validation,distraction,0.20689655172413793,0.47368421052631576,0.288,76
xgboost,missingness_only,2,test,alert,0.9377958079783637,0.8828771483131763,0.9095081967213114,1571
xgboost,missingness_only,2,test,fatigue,,,,0
xgboost,missingness_only,2,test,distraction,0.5934426229508196,0.6177474402730375,0.6053511705685619,293
svm,missingness_only,3,validation,alert,0.8926553672316384,0.8012170385395537,0.8444681988241582,986
svm,missingness_only,3,validation,fatigue,0.0,0.0,0.0,13
svm,missingness_only,3,validation,distraction,0.27014218009478674,0.375,0.3140495867768595,152
svm,missingness_only,3,test,alert,0.9583333333333334,0.8749085588880761,0.9147227533460803,1367
svm,missingness_only,3,test,fatigue,0.049019607843137254,0.23809523809523808,0.08130081300813008,21
svm,missingness_only,3,test,distraction,0.38,0.5089285714285714,0.4351145038167939,112
random_forest,missingness_only,3,validation,alert,0.8914027149321267,0.7991886409736308,0.8427807486631016,986
random_forest,missingness_only,3,validation,fatigue,0.0,0.0,0.0,13
random_forest,missingness_only,3,validation,distraction,0.2692307692307692,0.4144736842105263,0.32642487046632124,152
random_forest,missingness_only,3,test,alert,0.9537393986121819,0.9049012435991222,0.9286786786786787,1367
random_forest,missingness_only,3,test,fatigue,0.027777777777777776,0.047619047619047616,0.03508771929824561,21
random_forest,missingness_only,3,test,distraction,0.3473053892215569,0.5178571428571429,0.4157706093189964,112
xgboost,missingness_only,3,validation,alert,0.8943089430894309,0.7809330628803245,0.8337845154304278,986
xgboost,missingness_only,3,validation,fatigue,0.0,0.0,0.0,13
xgboost,missingness_only,3,validation,distraction,0.2774566473988439,0.3157894736842105,0.2953846153846154,152
xgboost,missingness_only,3,test,alert,0.9611419508326725,0.8866130212143379,0.9223744292237442,1367
xgboost,missingness_only,3,test,fatigue,0.028037383177570093,0.14285714285714285,0.046875,21
xgboost,missingness_only,3,test,distraction,0.36363636363636365,0.42857142857142855,0.39344262295081966,112
svm,missingness_only,4,validation,alert,0.936046511627907,0.7954545454545454,0.8600427350427351,1012
svm,missingness_only,4,validation,fatigue,0.016,0.11764705882352941,0.028169014084507043,17
svm,missingness_only,4,validation,distraction,0.2571428571428571,0.375,0.3050847457627119,96
svm,missingness_only,4,test,alert,0.907608695652174,0.6980146290491118,0.7891317188422918,957
svm,missingness_only,4,test,fatigue,,,,0
svm,missingness_only,4,test,distraction,0.22162162162162163,0.2971014492753623,0.25386996904024767,138
random_forest,missingness_only,4,validation,alert,0.9322222222222222,0.8290513833992095,0.8776150627615062,1012
random_forest,missingness_only,4,validation,fatigue,0.0,0.0,0.0,17
random_forest,missingness_only,4,validation,distraction,0.25806451612903225,0.5,0.3404255319148936,96
random_forest,missingness_only,4,test,alert,0.9057788944723618,0.7533960292580982,0.8225898459783229,957
random_forest,missingness_only,4,test,fatigue,,,,0
random_forest,missingness_only,4,test,distraction,0.21115537848605578,0.38405797101449274,0.27249357326478146,138
xgboost,missingness_only,4,validation,alert,0.9336332958380202,0.8201581027667985,0.873224618621778,1012
xgboost,missingness_only,4,validation,fatigue,0.0,0.0,0.0,17
xgboost,missingness_only,4,validation,distraction,0.2638888888888889,0.3958333333333333,0.31666666666666665,96
xgboost,missingness_only,4,test,alert,0.9041450777202072,0.7293625914315569,0.8074031231925969,957
xgboost,missingness_only,4,test,fatigue,,,,0
xgboost,missingness_only,4,test,distraction,0.20657276995305165,0.3188405797101449,0.25071225071225073,138
