model,ablation,fold,subset,actual,predicted,count,preprocessing,window_size_frames,num_features
xgboost,all_features,3,validation,alert,distraction,172,zero_fill_baseline,30,14
xgboost,all_features,3,validation,fatigue,alert,13,zero_fill_baseline,30,14
xgboost,all_features,3,validation,fatigue,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,3,validation,fatigue,distraction,0,zero_fill_baseline,30,14
xgboost,all_features,3,validation,distraction,alert,87,zero_fill_baseline,30,14
xgboost,all_features,3,validation,distraction,fatigue,2,zero_fill_baseline,30,14
xgboost,all_features,3,validation,distraction,distraction,63,zero_fill_baseline,30,14
xgboost,all_features,3,test,alert,alert,1248,zero_fill_baseline,30,14
xgboost,all_features,3,test,alert,fatigue,8,zero_fill_baseline,30,14
xgboost,all_features,3,test,alert,distraction,115,zero_fill_baseline,30,14
xgboost,all_features,3,test,fatigue,alert,22,zero_fill_baseline,30,14
xgboost,all_features,3,test,fatigue,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,3,test,fatigue,distraction,3,zero_fill_baseline,30,14
xgboost,all_features,3,test,distraction,alert,52,zero_fill_baseline,30,14
xgboost,all_features,3,test,distraction,fatigue,1,zero_fill_baseline,30,14
xgboost,all_features,3,test,distraction,distraction,64,zero_fill_baseline,30,14
svm,all_features,4,validation,alert,alert,778,zero_fill_baseline,30,14
svm,all_features,4,validation,alert,fatigue,77,zero_fill_baseline,30,14
svm,all_features,4,validation,alert,distraction,163,zero_fill_baseline,30,14
svm,all_features,4,validation,fatigue,alert,13,zero_fill_baseline,30,14
svm,all_features,4,validation,fatigue,fatigue,5,zero_fill_baseline,30,14
svm,all_features,4,validation,fatigue,distraction,2,zero_fill_baseline,30,14
svm,all_features,4,validation,distraction,alert,44,zero_fill_baseline,30,14
svm,all_features,4,validation,distraction,fatigue,11,zero_fill_baseline,30,14
svm,all_features,4,validation,distraction,distraction,44,zero_fill_baseline,30,14
svm,all_features,4,test,alert,alert,659,zero_fill_baseline,30,14
svm,all_features,4,test,alert,fatigue,113,zero_fill_baseline,30,14
svm,all_features,4,test,alert,distraction,188,zero_fill_baseline,30,14
svm,all_features,4,test,fatigue,alert,4,zero_fill_baseline,30,14
svm,all_features,4,test,fatigue,fatigue,0,zero_fill_baseline,30,14
svm,all_features,4,test,fatigue,distraction,0,zero_fill_baseline,30,14
svm,all_features,4,test,distraction,alert,82,zero_fill_baseline,30,14
svm,all_features,4,test,distraction,fatigue,12,zero_fill_baseline,30,14
svm,all_features,4,test,distraction,distraction,47,zero_fill_baseline,30,14
random_forest,all_features,4,validation,alert,alert,888,zero_fill_baseline,30,14
random_forest,all_features,4,validation,alert,fatigue,1,zero_fill_baseline,30,14
random_forest,all_features,4,validation,alert,distraction,129,zero_fill_baseline,30,14
random_forest,all_features,4,validation,fatigue,alert,18,zero_fill_baseline,30,14
random_forest,all_features,4,validation,fatigue,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,4,validation,fatigue,distraction,2,zero_fill_baseline,30,14
random_forest,all_features,4,validation,distraction,alert,50,zero_fill_baseline,30,14
random_forest,all_features,4,validation,distraction,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,4,validation,distraction,distraction,49,zero_fill_baseline,30,14
random_forest,all_features,4,test,alert,alert,774,zero_fill_baseline,30,14
random_forest,all_features,4,test,alert,fatigue,1,zero_fill_baseline,30,14
random_forest,all_features,4,test,alert,distraction,185,zero_fill_baseline,30,14
random_forest,all_features,4,test,fatigue,alert,4,zero_fill_baseline,30,14
random_forest,all_features,4,test,fatigue,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,4,test,fatigue,distraction,0,zero_fill_baseline,30,14
random_forest,all_features,4,test,distraction,alert,92,zero_fill_baseline,30,14
random_forest,all_features,4,test,distraction,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,4,test,distraction,distraction,49,zero_fill_baseline,30,14
xgboost,all_features,4,validation,alert,alert,844,zero_fill_baseline,30,14
xgboost,all_features,4,validation,alert,fatigue,8,zero_fill_baseline,30,14
xgboost,all_features,4,validation,alert,distraction,166,zero_fill_baseline,30,14
xgboost,all_features,4,validation,fatigue,alert,16,zero_fill_baseline,30,14
xgboost,all_features,4,validation,fatigue,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,4,validation,fatigue,distraction,4,zero_fill_baseline,30,14
xgboost,all_features,4,validation,distraction,alert,50,zero_fill_baseline,30,14
xgboost,all_features,4,validation,distraction,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,4,validation,distraction,distraction,49,zero_fill_baseline,30,14
xgboost,all_features,4,test,alert,alert,739,zero_fill_baseline,30,14
xgboost,all_features,4,test,alert,fatigue,10,zero_fill_baseline,30,14
xgboost,all_features,4,test,alert,distraction,211,zero_fill_baseline,30,14
xgboost,all_features,4,test,fatigue,alert,4,zero_fill_baseline,30,14
xgboost,all_features,4,test,fatigue,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,4,test,fatigue,distraction,0,zero_fill_baseline,30,14
