model,ablation,fold,subset,label,precision,recall,f1,support
svm,facial_plus_missingness,3,test,alert,0.9500384319754035,0.9041697147037308,0.9265367316341829,1367
svm,facial_plus_missingness,3,test,fatigue,0.0,0.0,0.0,21
svm,facial_plus_missingness,3,test,distraction,0.32222222222222224,0.5178571428571429,0.3972602739726027,112
random_forest,facial_plus_missingness,3,validation,alert,0.8855975485188968,0.8793103448275862,0.8824427480916031,986
random_forest,facial_plus_missingness,3,validation,fatigue,0.0,0.0,0.0,13
random_forest,facial_plus_missingness,3,validation,distraction,0.3192771084337349,0.34868421052631576,0.3333333333333333,152
random_forest,facial_plus_missingness,3,test,alert,0.9432727272727273,0.9487929773226043,0.9460247994164843,1367
random_forest,facial_plus_missingness,3,test,fatigue,0.0,0.0,0.0,21
random_forest,facial_plus_missingness,3,test,distraction,0.424,0.4732142857142857,0.4472573839662447,112
xgboost,facial_plus_missingness,3,validation,alert,0.8868778280542986,0.795131845841785,0.8385026737967914,986
xgboost,facial_plus_missingness,3,validation,fatigue,0.0,0.0,0.0,13
xgboost,facial_plus_missingness,3,validation,distraction,0.252,0.4144736842105263,0.31343283582089554,152
xgboost,facial_plus_missingness,3,test,alert,0.955893536121673,0.9195318215069496,0.9373601789709173,1367
xgboost,facial_plus_missingness,3,test,fatigue,0.0,0.0,0.0,21
xgboost,facial_plus_missingness,3,test,distraction,0.3888888888888889,0.625,0.4794520547945205,112
svm,facial_plus_missingness,4,validation,alert,0.9337349397590361,0.7658102766798419,0.8414766558089034,1012
svm,facial_plus_missingness,4,validation,fatigue,0.025974025974025976,0.11764705882352941,0.0425531914893617,17
svm,facial_plus_missingness,4,validation,distraction,0.19724770642201836,0.4479166666666667,0.27388535031847133,96
svm,facial_plus_missingness,4,test,alert,0.9027397260273973,0.6886102403343782,0.7812685240071132,957
svm,facial_plus_missingness,4,test,fatigue,,,,0
svm,facial_plus_missingness,4,test,distraction,0.24390243902439024,0.43478260869565216,0.3125,138
random_forest,facial_plus_missingness,4,validation,alert,0.930379746835443,0.8715415019762845,0.9,1012
random_forest,facial_plus_missingness,4,validation,fatigue,0.0,0.0,0.0,17
random_forest,facial_plus_missingness,4,validation,distraction,0.27325581395348836,0.4895833333333333,0.35074626865671643,96
random_forest,facial_plus_missingness,4,test,alert,0.9009216589861752,0.8171368861024033,0.856986301369863,957
random_forest,facial_plus_missingness,4,test,fatigue,,,,0
random_forest,facial_plus_missingness,4,test,distraction,0.23008849557522124,0.37681159420289856,0.2857142857142857,138
xgboost,facial_plus_missingness,4,validation,alert,0.9325221238938053,0.8330039525691699,0.8799582463465553,1012
xgboost,facial_plus_missingness,4,validation,fatigue,0.0,0.0,0.0,17
xgboost,facial_plus_missingness,4,validation,distraction,0.23979591836734693,0.4895833333333333,0.3219178082191781,96
xgboost,facial_plus_missingness,4,test,alert,0.9058679706601467,0.774294670846395,0.8349295774647887,957
xgboost,facial_plus_missingness,4,test,fatigue,,,,0
