model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,candidate_id,parameters
xgboost,facial_plus_missingness,2,test,1864,0.8760729613733905,0.7807172666699977,0.780085098660652,0.5200567324404347,"[""alert"", ""distraction""]","[""fatigue""]",6.581161699999939,False,7aa0faebcd59,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 600, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm,facial_plus_missingness,3,validation,1151,0.7176368375325803,0.4251152436403851,0.39684250695200096,0.39684250695200096,"[""alert"", ""fatigue"", ""distraction""]",[],2.472232800000711,False,c8da45025ca6,"{""C"": 10.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}"
svm,facial_plus_missingness,3,test,1500,0.8646666666666667,0.5102609990594629,0.4587997415711517,0.4587997415711517,"[""alert"", ""fatigue"", ""distraction""]",[],2.472232800000711,False,c8da45025ca6,"{""C"": 10.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}"
random_forest,facial_plus_missingness,3,validation,1151,0.8132059079061685,0.40917583004163555,0.40874827964825994,0.40874827964825994,"[""alert"", ""fatigue"", ""distraction""]",[],2.3257515000004787,False,862912140178,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}"
random_forest,facial_plus_missingness,3,test,1500,0.8986666666666666,0.4543883025046156,0.4519682827759053,0.4519682827759053,"[""alert"", ""fatigue"", ""distraction""]",[],2.3257515000004787,False,862912140178,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}"
xgboost,facial_plus_missingness,3,validation,1151,0.7480451781059948,0.40978968719974374,0.391445678673447,0.391445678673447,"[""alert"", ""fatigue"", ""distraction""]",[],0.8366442000005918,False,9ff407e47a79,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,facial_plus_missingness,3,test,1500,0.8826666666666667,0.5086477165848051,0.4672233223771512,0.4672233223771512,"[""alert"", ""fatigue"", ""distraction""]",[],0.8366442000005918,False,9ff407e47a79,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm,facial_plus_missingness,4,validation,1125,0.7653333333333333,0.45415310392931874,0.4034454078458843,0.4034454078458843,"[""alert"", ""fatigue"", ""distraction""]",[],0.40641189999951166,False,47b8cdda5535,"{""C"": 10.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}"
svm,facial_plus_missingness,4,test,1095,0.708675799086758,0.5883762664122485,0.5643988038041184,0.37626586920274563,"[""alert"", ""distraction""]","[""fatigue""]",0.40641189999951166,False,47b8cdda5535,"{""C"": 10.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}"
random_forest,facial_plus_missingness,4,validation,1125,0.8391111111111111,0.45550614844093107,0.42402783525697024,0.42402783525697024,"[""alert"", ""fatigue"", ""distraction""]",[],2.0092124000002514,False,862912140178,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}"
