model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,preprocessing,window_size_frames,num_features
xgboost,all_features,3,test,1513,0.8486450760079313,0.4268392277145012,0.4186183474351675,0.4186183474351675,"[""alert"", ""fatigue"", ""distraction""]",[],1.0488990000012564,True,short_gap_interpolation_with_flags,30,17
svm,all_features,4,validation,1137,0.7405452946350044,0.4698639968777493,0.4019915934681164,0.4019915934681164,"[""alert"", ""fatigue"", ""distraction""]",[],0.42297839999991993,True,short_gap_interpolation_with_flags,30,17
svm,all_features,4,test,1105,0.685972850678733,0.3458850472813239,0.3592789191733057,0.3592789191733057,"[""alert"", ""fatigue"", ""distraction""]",[],0.42297839999991993,True,short_gap_interpolation_with_flags,30,17
random_forest,all_features,4,validation,1137,0.8179419525065963,0.4291407857223182,0.4045062277493861,0.4045062277493861,"[""alert"", ""fatigue"", ""distraction""]",[],1.169423999999708,True,short_gap_interpolation_with_flags,30,17
random_forest,all_features,4,test,1105,0.7438914027149321,0.3822251773049645,0.3718156883250314,0.3718156883250314,"[""alert"", ""fatigue"", ""distraction""]",[],1.169423999999708,True,short_gap_interpolation_with_flags,30,17
xgboost,all_features,4,validation,1137,0.7757255936675461,0.4103841294411039,0.3807845418165734,0.3807845418165734,"[""alert"", ""fatigue"", ""distraction""]",[],5.766800500001409,True,short_gap_interpolation_with_flags,30,17
xgboost,all_features,4,test,1105,0.7167420814479638,0.3758421985815603,0.3627758803638201,0.3627758803638201,"[""alert"", ""fatigue"", ""distraction""]",[],5.766800500001409,True,short_gap_interpolation_with_flags,30,17
svm,all_features,1,validation,1180,0.7313559322033898,0.5897435897435898,0.42518835922156756,0.42518835922156756,"[""alert"", ""fatigue"", ""distraction""]",[],0.26084029999947234,True,zero_fill_baseline,60,14
svm,all_features,1,test,1534,0.6844850065189049,0.4888081298265772,0.47720200330210005,0.47720200330210005,"[""alert"", ""fatigue"", ""distraction""]",[],0.26084029999947234,True,zero_fill_baseline,60,14
random_forest,all_features,1,validation,1180,0.8457627118644068,0.41624662137482654,0.4255390402789247,0.4255390402789247,"[""alert"", ""fatigue"", ""distraction""]",[],1.130307500001436,True,zero_fill_baseline,60,14
random_forest,all_features,1,test,1534,0.8102998696219035,0.5114958417403901,0.5117696045220256,0.5117696045220256,"[""alert"", ""fatigue"", ""distraction""]",[],1.130307500001436,True,zero_fill_baseline,60,14
xgboost,all_features,1,validation,1180,0.7805084745762711,0.4289697323885358,0.4126759437498515,0.4126759437498515,"[""alert"", ""fatigue"", ""distraction""]",[],4.281043200000568,True,zero_fill_baseline,60,14
xgboost,all_features,1,test,1534,0.8050847457627118,0.5417135521754876,0.5219166190169872,0.5219166190169872,"[""alert"", ""fatigue"", ""distraction""]",[],4.281043200000568,True,zero_fill_baseline,60,14
