model,ablation,fold,subset,label,precision,recall,f1,support,preprocessing,window_size_frames,num_features
svm,all_features,1,validation,distraction,0.26996197718631176,0.4303030303030303,0.3317757009345794,165,short_gap_interpolation,30,14
svm,all_features,1,test,alert,0.8674568965517241,0.7398897058823529,0.7986111111111112,1088,short_gap_interpolation,30,14
svm,all_features,1,test,fatigue,0.0410958904109589,0.04411764705882353,0.0425531914893617,68,short_gap_interpolation,30,14
svm,all_features,1,test,distraction,0.5355805243445693,0.7546174142480211,0.6265060240963856,379,short_gap_interpolation,30,14
random_forest,all_features,1,validation,alert,0.8898385565052231,0.9168297455968689,0.9031325301204819,1022,short_gap_interpolation,30,14
random_forest,all_features,1,validation,fatigue,0.0,0.0,0.0,7,short_gap_interpolation,30,14
random_forest,all_features,1,validation,distraction,0.3971631205673759,0.3393939393939394,0.3660130718954248,165,short_gap_interpolation,30,14
random_forest,all_features,1,test,alert,0.8535139712108383,0.9264705882352942,0.8884971353018951,1088,short_gap_interpolation,30,14
random_forest,all_features,1,test,fatigue,0.0,0.0,0.0,68,short_gap_interpolation,30,14
random_forest,all_features,1,test,distraction,0.6977401129943502,0.6517150395778364,0.6739427012278308,379,short_gap_interpolation,30,14
xgboost,all_features,1,validation,alert,0.893042575285566,0.8414872798434442,0.8664987405541562,1022,short_gap_interpolation,30,14
xgboost,all_features,1,validation,fatigue,0.0,0.0,0.0,7,short_gap_interpolation,30,14
xgboost,all_features,1,validation,distraction,0.29464285714285715,0.4,0.3393316195372751,165,short_gap_interpolation,30,14
xgboost,all_features,1,test,alert,0.868421052631579,0.8492647058823529,0.8587360594795539,1088,short_gap_interpolation,30,14
xgboost,all_features,1,test,fatigue,0.0,0.0,0.0,68,short_gap_interpolation,30,14
xgboost,all_features,1,test,distraction,0.6004366812227074,0.7255936675461742,0.6571087216248507,379,short_gap_interpolation,30,14
svm,all_features,2,validation,alert,0.9416941694169417,0.7882136279926335,0.8581453634085213,1086,short_gap_interpolation,30,14
svm,all_features,2,validation,fatigue,0.05263157894736842,0.2,0.08333333333333333,20,short_gap_interpolation,30,14
svm,all_features,2,validation,distraction,0.18,0.45569620253164556,0.25806451612903225,79,short_gap_interpolation,30,14
svm,all_features,2,test,alert,0.9321475625823452,0.8955696202531646,0.9134925758553906,1580,short_gap_interpolation,30,14
svm,all_features,2,test,fatigue,,,,0,short_gap_interpolation,30,14
svm,all_features,2,test,distraction,0.5934426229508196,0.6135593220338983,0.6033333333333334,295,short_gap_interpolation,30,14
random_forest,all_features,2,validation,alert,0.9294809010773751,0.8738489871086557,0.9008068343616517,1086,short_gap_interpolation,30,14
random_forest,all_features,2,validation,fatigue,0.0,0.0,0.0,20,short_gap_interpolation,30,14
random_forest,all_features,2,validation,distraction,0.1656441717791411,0.34177215189873417,0.2231404958677686,79,short_gap_interpolation,30,14
random_forest,all_features,2,test,alert,0.932741116751269,0.930379746835443,0.9315589353612167,1580,short_gap_interpolation,30,14
random_forest,all_features,2,test,fatigue,,,,0,short_gap_interpolation,30,14
