model,ablation,fold,subset,actual,predicted,count
xgboost,facial_only,4,test,alert,fatigue,88
xgboost,facial_only,4,test,alert,distraction,186
xgboost,facial_only,4,test,fatigue,alert,0
xgboost,facial_only,4,test,fatigue,fatigue,0
xgboost,facial_only,4,test,fatigue,distraction,0
xgboost,facial_only,4,test,distraction,alert,74
xgboost,facial_only,4,test,distraction,fatigue,11
xgboost,facial_only,4,test,distraction,distraction,53
svm,facial_plus_missingness,1,validation,alert,alert,768
svm,facial_plus_missingness,1,validation,alert,fatigue,109
svm,facial_plus_missingness,1,validation,alert,distraction,137
svm,facial_plus_missingness,1,validation,fatigue,alert,0
svm,facial_plus_missingness,1,validation,fatigue,fatigue,3
svm,facial_plus_missingness,1,validation,fatigue,distraction,1
svm,facial_plus_missingness,1,validation,distraction,alert,78
svm,facial_plus_missingness,1,validation,distraction,fatigue,4
svm,facial_plus_missingness,1,validation,distraction,distraction,80
svm,facial_plus_missingness,1,test,alert,alert,567
svm,facial_plus_missingness,1,test,alert,fatigue,78
svm,facial_plus_missingness,1,test,alert,distraction,443
svm,facial_plus_missingness,1,test,fatigue,alert,8
svm,facial_plus_missingness,1,test,fatigue,fatigue,0
svm,facial_plus_missingness,1,test,fatigue,distraction,59
svm,facial_plus_missingness,1,test,distraction,alert,44
svm,facial_plus_missingness,1,test,distraction,fatigue,13
svm,facial_plus_missingness,1,test,distraction,distraction,322
random_forest,facial_plus_missingness,1,validation,alert,alert,959
random_forest,facial_plus_missingness,1,validation,alert,fatigue,0
random_forest,facial_plus_missingness,1,validation,alert,distraction,55
random_forest,facial_plus_missingness,1,validation,fatigue,alert,4
random_forest,facial_plus_missingness,1,validation,fatigue,fatigue,0
random_forest,facial_plus_missingness,1,validation,fatigue,distraction,0
random_forest,facial_plus_missingness,1,validation,distraction,alert,113
random_forest,facial_plus_missingness,1,validation,distraction,fatigue,0
random_forest,facial_plus_missingness,1,validation,distraction,distraction,49
random_forest,facial_plus_missingness,1,test,alert,alert,1025
random_forest,facial_plus_missingness,1,test,alert,fatigue,0
random_forest,facial_plus_missingness,1,test,alert,distraction,63
random_forest,facial_plus_missingness,1,test,fatigue,alert,50
random_forest,facial_plus_missingness,1,test,fatigue,fatigue,0
random_forest,facial_plus_missingness,1,test,fatigue,distraction,17
random_forest,facial_plus_missingness,1,test,distraction,alert,182
random_forest,facial_plus_missingness,1,test,distraction,fatigue,0
random_forest,facial_plus_missingness,1,test,distraction,distraction,197
xgboost,facial_plus_missingness,1,validation,alert,alert,862
xgboost,facial_plus_missingness,1,validation,alert,fatigue,10
xgboost,facial_plus_missingness,1,validation,alert,distraction,142
xgboost,facial_plus_missingness,1,validation,fatigue,alert,4
xgboost,facial_plus_missingness,1,validation,fatigue,fatigue,0
xgboost,facial_plus_missingness,1,validation,fatigue,distraction,0
xgboost,facial_plus_missingness,1,validation,distraction,alert,88
xgboost,facial_plus_missingness,1,validation,distraction,fatigue,1
xgboost,facial_plus_missingness,1,validation,distraction,distraction,73
xgboost,facial_plus_missingness,1,test,alert,alert,957
xgboost,facial_plus_missingness,1,test,alert,fatigue,2
xgboost,facial_plus_missingness,1,test,alert,distraction,129
xgboost,facial_plus_missingness,1,test,fatigue,alert,46
xgboost,facial_plus_missingness,1,test,fatigue,fatigue,0
xgboost,facial_plus_missingness,1,test,fatigue,distraction,21
xgboost,facial_plus_missingness,1,test,distraction,alert,98
xgboost,facial_plus_missingness,1,test,distraction,fatigue,2
xgboost,facial_plus_missingness,1,test,distraction,distraction,279
svm,facial_plus_missingness,2,validation,alert,alert,808
svm,facial_plus_missingness,2,validation,alert,fatigue,97
svm,facial_plus_missingness,2,validation,alert,distraction,175
svm,facial_plus_missingness,2,validation,fatigue,alert,15
svm,facial_plus_missingness,2,validation,fatigue,fatigue,2
