video_id,start,end_exclusive,reason
video_01,27180,27270,absent_unknown_or_missing_frame
video_01,27270,27360,absent_unknown_or_missing_frame
video_01,27360,27450,absent_unknown_or_missing_frame
video_01,27450,27540,absent_unknown_or_missing_frame
video_01,27540,27630,absent_unknown_or_missing_frame
video_01,27630,27720,absent_unknown_or_missing_frame
video_01,27720,27810,absent_unknown_or_missing_frame
video_01,27810,27900,absent_unknown_or_missing_frame
video_01,27900,27990,absent_unknown_or_missing_frame
video_01,27990,28080,absent_unknown_or_missing_frame
video_01,28080,28170,absent_unknown_or_missing_frame
video_01,28170,28260,absent_unknown_or_missing_frame
video_01,28260,28350,absent_unknown_or_missing_frame
video_01,28350,28440,absent_unknown_or_missing_frame
video_01,28440,28530,absent_unknown_or_missing_frame
video_01,28530,28620,absent_unknown_or_missing_frame
video_01,28620,28710,absent_unknown_or_missing_frame
video_01,28710,28800,absent_unknown_or_missing_frame
video_01,28800,28890,absent_unknown_or_missing_frame
video_01,28890,28980,absent_unknown_or_missing_frame
video_01,28980,29070,absent_unknown_or_missing_frame
video_01,29070,29160,absent_unknown_or_missing_frame
video_01,29160,29250,absent_unknown_or_missing_frame
video_01,29250,29340,absent_unknown_or_missing_frame
video_01,29340,29430,absent_unknown_or_missing_frame
video_01,29430,29520,absent_unknown_or_missing_frame
video_01,29520,29610,absent_unknown_or_missing_frame
video_01,29610,29700,absent_unknown_or_missing_frame
video_01,29700,29790,missing_indicator
video_01,29790,29880,missing_indicator
video_01,29880,29970,missing_indicator
video_01,29970,30060,missing_indicator
video_01,30060,30150,missing_indicator
video_01,30150,30240,missing_indicator
video_01,30240,30330,missing_indicator
video_01,30330,30420,missing_indicator
video_01,30420,30510,missing_indicator
video_01,30510,30600,missing_indicator
video_01,30600,30690,missing_indicator
video_01,30690,30780,missing_indicator
video_01,30780,30870,missing_indicator
video_01,30870,30960,missing_indicator
video_01,30960,31050,missing_indicator
video_01,31050,31140,missing_indicator
video_01,31140,31230,missing_indicator
video_01,31230,31320,missing_indicator
video_01,31320,31410,missing_indicator
video_01,31590,31680,missing_indicator
video_01,31680,31770,missing_indicator
video_01,31770,31860,missing_indicator
video_01,31860,31950,missing_indicator
video_02,0,90,missing_indicator
video_02,90,180,missing_indicator
video_02,180,270,missing_indicator
video_02,270,360,missing_indicator
video_02,360,450,missing_indicator
video_02,450,540,missing_indicator
video_02,540,630,missing_indicator
video_02,630,720,missing_indicator
video_02,720,810,missing_indicator
video_02,810,900,missing_indicator
video_02,900,990,missing_indicator
video_02,990,1080,missing_indicator
video_02,1080,1170,missing_indicator
video_02,1170,1260,missing_indicator
video_02,1260,1350,missing_indicator
video_02,1350,1440,missing_indicator
video_02,1440,1530,missing_indicator
video_02,1530,1620,missing_indicator
video_02,1620,1710,missing_indicator
video_02,1710,1800,missing_indicator
video_02,1800,1890,missing_indicator
video_02,1890,1980,missing_indicator
video_02,1980,2070,missing_indicator
video_02,2070,2160,missing_indicator
video_02,2160,2250,missing_indicator
video_02,2250,2340,absent_unknown_or_missing_frame
video_02,2340,2430,absent_unknown_or_missing_frame
video_02,2430,2520,missing_indicator
video_02,2520,2610,missing_indicator
video_02,2610,2700,missing_indicator
video_02,2700,2790,missing_indicator
video_02,2790,2880,missing_indicator
video_02,2880,2970,missing_indicator
video_02,2970,3060,missing_indicator
video_02,3060,3150,missing_indicator
video_02,3150,3240,missing_indicator
video_02,3240,3330,missing_indicator
video_02,3330,3420,missing_indicator
video_02,3420,3510,missing_indicator
video_02,3510,3600,missing_indicator
video_02,3600,3690,missing_indicator
