video_id,frame_index,clip_id,state,timestamp_seconds,backend,detector_found,presence,elapsed_ms,selected_eye,ear,mar,pitch,yaw,roll,face_mesh_detected,indicators_accepted,all_indicators_valid,detection_status,ear_valid,ear_status,mar_valid,mar_status,head_pose_valid,head_pose_status
video_01,13299,0,alert,738.433,mediapipe_static,,,9.612800000468269,"[33, 160, 158, 133, 153, 144]",0.11873725192502842,0.01563411693414523,-34.07767116572934,-18.822100272579494,-157.91613167561604,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13300,0,alert,738.499,torch_cuda,True,0.9858456254005432,24.690300000656862,"[33, 160, 158, 133, 153, 144]",0.27286098430287264,0.015696551061861,-35.72276418955474,-18.37745189555443,-156.3838036740077,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13300,0,alert,738.499,torch_cpu,True,0.9858189225196838,48.12310000124853,"[33, 160, 158, 133, 153, 144]",0.2727793784145272,0.015718291511389162,-35.72086311027924,-18.378572017941263,-156.3849573507607,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13300,0,alert,738.499,mediapipe_tracking,,,6.519599999592174,"[33, 160, 158, 133, 153, 144]",0.25522614140437466,0.001490064130538774,-30.424724271276066,-24.33740149553869,-147.6688132327901,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13300,0,alert,738.499,mediapipe_static,,,9.87370000075316,"[33, 160, 158, 133, 153, 144]",0.07217157470408946,0.015032262397676067,-34.0145027957027,-21.73843182659682,-153.87800332120517,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13301,0,alert,738.566,torch_cpu,True,0.7898493409156799,42.85789999994449,"[33, 160, 158, 133, 153, 144]",0.33519418157189035,0.035861916299352065,-37.02479879487368,-17.64614923263526,-161.00190721104175,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13301,0,alert,738.566,torch_cuda,True,0.7898316979408264,25.908600000548176,"[33, 160, 158, 133, 153, 144]",0.33524375318422417,0.035890166164362955,-37.03635225080953,-17.64868650027476,-161.0036536935892,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13301,0,alert,738.566,mediapipe_tracking,,,6.0941999981878325,"[33, 160, 158, 133, 153, 144]",0.19288154626792825,0.003709015417324633,-31.165836353819806,-24.674175802064084,-146.7639183973713,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13301,0,alert,738.566,mediapipe_static,,,12.186799998744391,"[33, 160, 158, 133, 153, 144]",0.10575131255316286,0.01124749033983013,-35.96457490373136,-20.12367972706768,-156.62315184590773,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13302,0,alert,738.633,torch_cuda,True,0.8754462003707886,28.378700000757817,"[33, 160, 158, 133, 153, 144]",0.35375362130408744,0.037239309656740265,-39.12240527339377,-18.848824608857612,-161.5929062897445,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13302,0,alert,738.633,torch_cpu,True,0.8751726150512695,44.200500000442844,"[33, 160, 158, 133, 153, 144]",0.35377911814546337,0.037261330181439116,-39.12305476056888,-18.853356528308996,-161.59761434674877,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13302,0,alert,738.633,mediapipe_tracking,,,6.107399996835738,"[33, 160, 158, 133, 153, 144]",0.18442184664032124,0.0024693645129397037,-31.575988297647314,-24.84274629561515,-148.00454591870886,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13302,0,alert,738.633,mediapipe_static,,,10.74499999958789,"[33, 160, 158, 133, 153, 144]",0.14562154691138168,0.00912149343637847,-40.70901602478357,-21.228518695066416,-158.30582313048043,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13303,0,alert,738.6990000000001,torch_cpu,True,0.9421761631965637,45.480499997211155,"[33, 160, 158, 133, 153, 144]",0.3579123323796182,0.04238300739951627,-38.94009945106917,-17.924834308537513,-162.61606418190445,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13303,0,alert,738.6990000000001,torch_cuda,True,0.9421815276145935,27.709099995263387,"[33, 160, 158, 133, 153, 144]",0.357879378913166,0.04234988170284835,-38.93612768484433,-17.924465578541746,-162.61311397720453,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13303,0,alert,738.6990000000001,mediapipe_tracking,,,6.414499999664258,"[33, 160, 158, 133, 153, 144]",0.1970256742425811,0.003169804261290919,-31.2403170335578,-24.82684297512928,-147.35772874202752,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13303,0,alert,738.6990000000001,mediapipe_static,,,10.912300000200048,"[33, 160, 158, 133, 153, 144]",0.10811557724014867,0.027225437399978507,-40.96813018302536,-21.3084000205018,-157.62330475505038,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13304,0,alert,738.766,torch_cuda,True,0.9117048978805542,26.083700002345722,"[33, 160, 158, 133, 153, 144]",0.3220040442758729,0.043320015074681244,-38.390859951338584,-15.626807673026473,-167.5391822301012,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13304,0,alert,738.766,torch_cpu,True,0.9115374684333801,38.89070000150241,"[33, 160, 158, 133, 153, 144]",0.32200947783132405,0.04330880708956396,-38.39006681107308,-15.626174738207705,-167.53835541622982,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13304,0,alert,738.766,mediapipe_tracking,,,7.460199994966388,"[33, 160, 158, 133, 153, 144]",0.16347886911433085,0.0019356915220267328,-32.14140046624554,-25.2365055728205,-148.01133676846587,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13304,0,alert,738.766,mediapipe_static,,,10.45670000166865,"[33, 160, 158, 133, 153, 144]",0.16633202017720677,0.03440850762611109,-43.79491703309943,-19.10620298625445,-162.26156399405818,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13305,0,alert,738.833,torch_cpu,True,0.003057233989238739,35.356799999135546,None,,,,,,0,0,0,face_mesh_missing,0,not_evaluated_face_mesh_missing,0,not_evaluated_face_mesh_missing,0,not_evaluated_face_mesh_missing
video_01,13305,0,alert,738.833,torch_cuda,True,0.0030723772943019867,20.26779999869177,None,,,,,,0,0,0,face_mesh_missing,0,not_evaluated_face_mesh_missing,0,not_evaluated_face_mesh_missing,0,not_evaluated_face_mesh_missing
video_01,13305,0,alert,738.833,mediapipe_tracking,,,6.350999996357132,"[33, 160, 158, 133, 153, 144]",0.17748002292120743,0.0025643548594059514,-31.89163630952374,-24.90419221760861,-147.81466446639337,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13305,0,alert,738.833,mediapipe_static,,,10.050700002466328,"[33, 160, 158, 133, 153, 144]",0.14397817055398549,0.03633245558288009,-40.6617674710765,-14.774235758113381,-163.57186451777164,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13306,0,alert,738.899,torch_cuda,True,0.0008557041292078793,19.03580000362126,None,,,,,,0,0,0,face_mesh_missing,0,not_evaluated_face_mesh_missing,0,not_evaluated_face_mesh_missing,0,not_evaluated_face_mesh_missing
