model,representation,window_size_frames,fold,missing_ratio_lower,missing_ratio_upper,num_windows,error_rate,mean_probability_fatigue,fatigue_windows
lstm,R0,60,4,0.0,0.1,885,0.0711864406779661,0.01153604108734993,17
lstm,R0,60,4,0.1,0.25,32,0.09375,0.017488718032836914,0
lstm,R0,60,4,0.25,0.5,37,0.10810810810810811,0.0265451379724451,0
lstm,R0,60,4,0.5,0.75,45,0.28888888888888886,0.03616485595703125,0
lstm,R0,60,4,0.75,1.0,126,0.7063492063492064,0.048426068018353176,0
tcn,R0,60,1,0.0,0.1,886,0.08916478555304741,0.0003012416728732279,4
tcn,R0,60,1,0.1,0.25,49,0.12244897959183673,0.0020197447465390575,0
tcn,R0,60,1,0.25,0.5,53,0.2641509433962264,0.0065526557418535344,0
tcn,R0,60,1,0.5,0.75,56,0.23214285714285715,0.019469056810651506,0
tcn,R0,60,1,0.75,1.0,136,0.625,0.04468783210305607,0
tcn,R0,60,2,0.0,0.1,909,0.056105610561056105,0.007606343467636864,17
tcn,R0,60,2,0.1,0.25,48,0.08333333333333333,0.010161499182383219,0
tcn,R0,60,2,0.25,0.5,55,0.18181818181818182,0.01418821161443537,0
tcn,R0,60,2,0.5,0.75,51,0.11764705882352941,0.018863640579522823,0
tcn,R0,60,2,0.75,1.0,110,0.6636363636363637,0.03018458973277699,0
tcn,R0,60,3,0.0,0.1,845,0.10295857988165681,0.012229741113425712,13
tcn,R0,60,3,0.1,0.25,30,0.16666666666666666,0.026879374186197916,0
tcn,R0,60,3,0.25,0.5,47,0.3191489361702128,0.045061152032081116,0
tcn,R0,60,3,0.5,0.75,58,0.3103448275862069,0.07340319403286638,0
tcn,R0,60,3,0.75,1.0,171,0.7368421052631579,0.10537523414656433,0
tcn,R0,60,4,0.0,0.1,885,0.06666666666666667,0.0036170568169847047,17
tcn,R0,60,4,0.1,0.25,32,0.09375,0.004489630460739136,0
tcn,R0,60,4,0.25,0.5,37,0.21621621621621623,0.007640812848065351,0
tcn,R0,60,4,0.5,0.75,45,0.24444444444444444,0.009846327039930556,0
tcn,R0,60,4,0.75,1.0,126,0.7301587301587301,0.013341933961898561,0
transformer,R1,150,1,0.0,0.1,808,0.07549504950495049,0.09066715807017714,1
transformer,R1,150,1,0.1,0.25,79,0.0759493670886076,0.1103461543215981,0
transformer,R1,150,1,0.25,0.5,89,0.16853932584269662,0.09750126185042135,0
transformer,R1,150,1,0.5,0.75,79,0.4177215189873418,0.09459135803995253,0
transformer,R1,150,1,0.75,1.0,100,0.41,0.0904876708984375,0
transformer,R1,150,2,0.0,0.1,838,0.046539379474940336,0.05238105573631414,12
transformer,R1,150,2,0.1,0.25,89,0.0449438202247191,0.059366633383075844,0
transformer,R1,150,2,0.25,0.5,79,0.08860759493670886,0.050647977032238924,0
transformer,R1,150,2,0.5,0.75,68,0.3088235294117647,0.052025738884420955,0
transformer,R1,150,2,0.75,1.0,86,0.1744186046511628,0.04250956690588663,0
transformer,R1,150,3,0.0,0.1,763,0.09305373525557012,0.037047679896123446,11
transformer,R1,150,3,0.1,0.25,71,0.08450704225352113,0.038761192644146125,0
transformer,R1,150,3,0.25,0.5,61,0.19672131147540983,0.0339693163262039,0
transformer,R1,150,3,0.5,0.75,91,0.34065934065934067,0.033888429075807004,0
transformer,R1,150,3,0.75,1.0,139,0.2589928057553957,0.02832536217120054,0
transformer,R1,150,4,0.0,0.1,813,0.055350553505535055,0.036945131871973014,12
transformer,R1,150,4,0.1,0.25,61,0.03278688524590164,0.043682160924692626,0
transformer,R1,150,4,0.25,0.5,77,0.14285714285714285,0.03597328879616477,0
transformer,R1,150,4,0.5,0.75,47,0.2978723404255319,0.03649382895611702,0
transformer,R1,150,4,0.75,1.0,107,0.2897196261682243,0.02786540093823014,0
lstm,R1,60,1,0.0,0.1,886,0.11738148984198646,0.2977691719279063,4
lstm,R1,60,1,0.1,0.25,49,0.12244897959183673,0.2986637037627551,0
lstm,R1,60,1,0.25,0.5,53,0.32075471698113206,0.2988189121462264,0
lstm,R1,60,1,0.5,0.75,56,0.375,0.29951695033482145,0
lstm,R1,60,1,0.75,1.0,136,0.35294117647058826,0.2974997127757353,0
lstm,R1,60,2,0.0,0.1,909,0.05720572057205721,0.2676178750687569,17
lstm,R1,60,2,0.1,0.25,48,0.08333333333333333,0.2683614095052083,0
lstm,R1,60,2,0.25,0.5,55,0.18181818181818182,0.26860795454545455,0
lstm,R1,60,2,0.5,0.75,51,0.11764705882352941,0.26866479013480393,0
lstm,R1,60,2,0.75,1.0,110,0.2,0.26614435369318185,0
lstm,R1,60,3,0.0,0.1,845,0.10887573964497041,0.27475817076553255,13
lstm,R1,60,3,0.1,0.25,30,0.16666666666666666,0.2757080078125,0
lstm,R1,60,3,0.25,0.5,47,0.2978723404255319,0.2759308510638298,0
lstm,R1,60,3,0.5,0.75,58,0.27586206896551724,0.2758452316810345,0
lstm,R1,60,3,0.75,1.0,171,0.26900584795321636,0.2733304207785088,0
lstm,R1,60,4,0.0,0.1,885,0.07231638418079096,0.2761064949682203,17
lstm,R1,60,4,0.1,0.25,32,0.09375,0.27614593505859375,0
lstm,R1,60,4,0.25,0.5,37,0.1891891891891892,0.2770864125844595,0
lstm,R1,60,4,0.5,0.75,45,0.3111111111111111,0.27754991319444444,0
lstm,R1,60,4,0.75,1.0,126,0.2777777777777778,0.27441987537202384,0
tcn,R1,60,1,0.0,0.1,886,0.08916478555304741,0.10971400780817725,4
tcn,R1,60,1,0.1,0.25,49,0.12244897959183673,0.05316956189213967,0
tcn,R1,60,1,0.25,0.5,53,0.2641509433962264,0.06689744400528241,0
tcn,R1,60,1,0.5,0.75,56,0.30357142857142855,0.0709093872989927,0
tcn,R1,60,1,0.75,1.0,136,0.36764705882352944,0.1321695832645192,0
tcn,R1,60,2,0.0,0.1,909,0.056105610561056105,0.15927159274765368,17
tcn,R1,60,2,0.1,0.25,48,0.08333333333333333,0.13871320088704428,0
tcn,R1,60,2,0.25,0.5,55,0.18181818181818182,0.1479739102450284,0
tcn,R1,60,2,0.5,0.75,51,0.11764705882352941,0.15159307741651348,0
tcn,R1,60,2,0.75,1.0,110,0.2,0.19650102095170455,0
tcn,R1,60,3,0.0,0.1,845,0.37514792899408284,0.21362557495839496,13
tcn,R1,60,3,0.1,0.25,30,0.2,0.20147298177083334,0
tcn,R1,60,3,0.25,0.5,47,0.2978723404255319,0.18933040537732712,0
tcn,R1,60,3,0.5,0.75,58,0.25862068965517243,0.1970256936961207,0
tcn,R1,60,3,0.75,1.0,171,0.6081871345029239,0.24282640602156433,0
tcn,R1,60,4,0.0,0.1,885,0.06666666666666667,0.09167517618944417,17
tcn,R1,60,4,0.1,0.25,32,0.09375,0.04936009645462036,0
tcn,R1,60,4,0.25,0.5,37,0.13513513513513514,0.06221672973117313,0
tcn,R1,60,4,0.5,0.75,45,0.26666666666666666,0.05592821968926324,0
tcn,R1,60,4,0.75,1.0,126,0.2698412698412698,0.1276537880064949,0
transformer,R2,150,1,0.0,0.1,808,0.07549504950495049,0.007923258413182626,1
transformer,R2,150,1,0.1,0.25,79,0.0759493670886076,0.013975409012806566,0
transformer,R2,150,1,0.25,0.5,89,0.16853932584269662,0.013785501544395189,0
transformer,R2,150,1,0.5,0.75,79,0.3924050632911392,0.019578571561016615,0
transformer,R2,150,1,0.75,1.0,100,0.56,0.03029815673828125,0
transformer,R2,150,2,0.0,0.1,838,0.046539379474940336,0.022009974732319325,12
transformer,R2,150,2,0.1,0.25,89,0.0449438202247191,0.03282654151487886,0
