model,subset,comparison,metric,n_folds,mean_delta,standard_deviation,minimum,maximum
transformer,validation,R2-R0,balanced_accuracy,4,-0.009579350723940977,0.02571599685281795,-0.048006106665324566,0.005932814534965081
transformer,validation,R2-R0,distraction_f1,4,-0.0003986242914366944,0.04497086382166202,-0.06392362120771544,0.040875384337131504
transformer,validation,R2-R0,fatigue_f1,4,0.0,0.0,0.0,0.0
transformer,validation,R2-R0,fatigue_predictions,4,0.0,0.0,0.0,0.0
transformer,validation,R2-R0,fatigue_recall,4,0.0,0.0,0.0,0.0
transformer,validation,R2-R0,macro_f1_all_classes,4,0.003173837694986553,0.01514928913880206,-0.017414856002972046,0.019074466322589523
transformer,validation,R2-R1,balanced_accuracy,4,0.08030052932645479,0.025373013399125628,0.060759403579943805,0.1175707193671266
transformer,validation,R2-R1,distraction_f1,4,0.31347281902273105,0.06270291250281114,0.2430939226519337,0.3917525773195876
transformer,validation,R2-R1,fatigue_f1,4,0.0,0.0,0.0,0.0
transformer,validation,R2-R1,fatigue_predictions,4,0.0,0.0,0.0,0.0
transformer,validation,R2-R1,fatigue_recall,4,0.0,0.0,0.0,0.0
transformer,validation,R2-R1,macro_f1_all_classes,4,0.09743454481255445,0.02356492806255572,0.07051272599059966,0.1252556626618927
