model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r2,4,validation,fatigue,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,validation,fatigue,distraction,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,validation,distraction,alert,53,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,validation,distraction,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,validation,distraction,distraction,38,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,test,alert,alert,844,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,test,alert,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,test,alert,distraction,102,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,test,fatigue,alert,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,test,fatigue,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,test,fatigue,distraction,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,test,distraction,alert,105,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,test,distraction,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,test,distraction,distraction,25,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
