model,representation,window_size_frames,subset,label,metric,n_folds_with_support,mean,standard_deviation,minimum,maximum
tcn,R1,60,validation,distraction,f1,4,0.05938037865748709,0.11876075731497418,0.0,0.23752151462994836
tcn,R1,60,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
tcn,R1,60,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
tcn,R1,60,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
tcn,R2,60,test,alert,precision,4,0.846865914401222,0.10047392633539717,0.7092568448500652,0.9431734317343173
tcn,R2,60,test,alert,recall,4,0.9434935970200707,0.07607453513442919,0.8390804597701149,1.0
tcn,R2,60,test,alert,f1,4,0.887113406661577,0.04907307499929273,0.8299008390541571,0.9390154298310066
tcn,R2,60,test,distraction,precision,4,0.14566755083996463,0.1807610299785836,0.0,0.3724137931034483
tcn,R2,60,test,distraction,recall,4,0.19481107660455488,0.23729417999893104,0.0,0.48214285714285715
tcn,R2,60,test,distraction,f1,4,0.16661992732031644,0.2050890672560436,0.0,0.42023346303501946
tcn,R2,60,test,fatigue,precision,2,0.0,0.0,0.0,0.0
tcn,R2,60,test,fatigue,recall,2,0.0,0.0,0.0,0.0
tcn,R2,60,test,fatigue,f1,2,0.0,0.0,0.0,0.0
tcn,R2,60,validation,alert,precision,4,0.89922812265164,0.03298834666164255,0.8593220338983051,0.93125
tcn,R2,60,validation,alert,recall,4,0.9348457455764096,0.07606162098761002,0.8559837728194726,1.0
tcn,R2,60,validation,alert,f1,4,0.9150765884642097,0.03671247311908603,0.8705518308406395,0.9587217043941412
tcn,R2,60,validation,distraction,precision,4,0.14191919191919192,0.16387624268340112,0.0,0.28484848484848485
tcn,R2,60,validation,distraction,recall,4,0.21450109649122806,0.25257542155178253,0.0,0.4895833333333333
tcn,R2,60,validation,distraction,f1,4,0.1700383141762452,0.19702644083439322,0.0,0.36015325670498083
tcn,R2,60,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
tcn,R2,60,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
tcn,R2,60,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
transformer,R0,150,test,alert,precision,4,0.9053028456574294,0.038452562552085394,0.8595600676818951,0.9376811594202898
transformer,R0,150,test,alert,recall,4,0.918746213160284,0.04081532393866528,0.8583509513742071,0.947985347985348
transformer,R0,150,test,alert,f1,4,0.9115897180709033,0.033713796614217695,0.8726491133799033,0.9428051001821494
transformer,R0,150,test,distraction,precision,4,0.4802935395665573,0.25945483700580635,0.16770186335403728,0.7341040462427746
transformer,R0,150,test,distraction,recall,4,0.4817843676051195,0.22174186235597987,0.2076923076923077,0.675531914893617
transformer,R0,150,test,distraction,f1,4,0.48010414872958734,0.24090622515701768,0.18556701030927836,0.703601108033241
transformer,R0,150,test,fatigue,precision,2,0.0,0.0,0.0,0.0
transformer,R0,150,test,fatigue,recall,2,0.0,0.0,0.0,0.0
transformer,R0,150,test,fatigue,f1,2,0.0,0.0,0.0,0.0
transformer,R0,150,validation,alert,precision,4,0.9141798055687017,0.03285878871832298,0.8835051546391752,0.9493041749502982
transformer,R0,150,validation,alert,recall,4,0.9076909366285126,0.03185443251088889,0.8844169246646026,0.953953953953954
transformer,R0,150,validation,alert,f1,4,0.9103350262478114,0.01760458560134356,0.8839608045384219,0.920328343795268
transformer,R0,150,validation,distraction,precision,4,0.3106115043903164,0.09427957602894567,0.22727272727272727,0.4457831325301205
transformer,R0,150,validation,distraction,recall,4,0.3619487035226746,0.112271386151758,0.23870967741935484,0.47297297297297297
transformer,R0,150,validation,distraction,f1,4,0.3138714433141678,0.02686501170227485,0.2866666666666667,0.3508771929824561
transformer,R0,150,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
transformer,R0,150,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
transformer,R0,150,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
transformer,R1,150,test,alert,precision,4,0.8371561541175847,0.09045584343213765,0.7078103207810321,0.9142665773610181
transformer,R1,150,test,alert,recall,4,0.9827981651376146,0.03440366972477066,0.9311926605504587,1.0
transformer,R1,150,test,alert,f1,4,0.9031442052190082,0.06769657365338981,0.8042789223454834,0.9552134359692093
transformer,R1,150,test,distraction,precision,4,0.03873239436619718,0.07746478873239435,0.0,0.15492957746478872
transformer,R1,150,test,distraction,recall,4,0.007313829787234043,0.014627659574468084,0.0,0.02925531914893617
transformer,R1,150,test,distraction,f1,4,0.012304250559284116,0.024608501118568233,0.0,0.049217002237136466
transformer,R1,150,test,fatigue,precision,2,0.13043478260869565,0.1844626385704037,0.0,0.2608695652173913
transformer,R1,150,test,fatigue,recall,2,0.04838709677419355,0.06842968850192395,0.0,0.0967741935483871
transformer,R1,150,test,fatigue,f1,2,0.07058823529411765,0.09982683969692435,0.0,0.1411764705882353
transformer,R1,150,validation,alert,precision,4,0.8897294493876643,0.03171560292507342,0.8613333333333333,0.9258620689655173
transformer,R1,150,validation,alert,recall,4,1.0,0.0,1.0,1.0
transformer,R1,150,validation,alert,f1,4,0.9414243482092755,0.01772388233770156,0.9255014326647565,0.9615040286481648
transformer,R1,150,validation,distraction,precision,4,0.0,0.0,0.0,0.0
transformer,R1,150,validation,distraction,recall,4,0.0,0.0,0.0,0.0
transformer,R1,150,validation,distraction,f1,4,0.0,0.0,0.0,0.0
transformer,R1,150,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
transformer,R1,150,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
transformer,R1,150,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
transformer,R2,150,test,alert,precision,4,0.9038952811581258,0.038346555231502495,0.8562874251497006,0.9360759493670886
