run_id,configuration_id,generation,model,representation,window_size_frames,fold,seed,parameter_count,model_size_bytes,best_epoch,stopping_epoch,best_validation_macro_f1,best_training_loss,best_validation_loss,training_seconds,peak_gpu_memory_bytes,resumed_checkpoint,validation_num_windows,validation_accuracy,validation_balanced_accuracy,validation_macro_f1_all_classes,test_num_windows,test_accuracy,test_balanced_accuracy,test_macro_f1_all_classes
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_2__seed_42,qualification_r1_w150_b1024,G3,transformer,R1,150,2,42,17443,267507,2,17,0.3205013428827216,0.6374147906326731,0.40546243663491877,5.17534280000109,568970752,False,1160,0.9258620689655173,0.3333333333333333,0.3205013428827216,1841,0.8473655621944596,0.5,0.3057924139958836
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_3__seed_42,qualification_r1_w150_b1024,G3,transformer,R1,150,3,42,17443,267507,2,17,0.30850047755491883,0.6100768766422208,0.48619205758306716,5.640926200001559,568970752,False,1125,0.8613333333333333,0.3333333333333333,0.30850047755491883,1493,0.9142665773610181,0.3333333333333333,0.3184044786564031
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_4__seed_42,qualification_r1_w150_b1024,G3,transformer,R1,150,4,42,17443,267507,2,17,0.3170384432842905,0.5864999231326331,0.4265330041695504,6.044221600001038,568970752,False,1105,0.9067873303167421,0.3333333333333333,0.3170384432842905,1076,0.879182156133829,0.5,0.31190240685789644
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,qualification_r1_w60_b1024,G3,lstm,R1,60,1,42,51651,651538,1,16,0.32566370625029845,1.0795489879891271,1.0326304334705159,2.3686946999951033,376863232,False,1180,0.8338983050847457,0.33557357488981426,0.32566370625029845,1534,0.5671447196870926,0.30609042759584043,0.2984692937351016
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_2__seed_42,qualification_r1_w60_b1024,G3,lstm,R1,60,2,42,51651,651730,3,18,0.3194197750148016,0.9877542837751022,0.9186114646996175,2.324515899999824,377265664,False,1173,0.9198635976129582,0.3330246913580247,0.3194197750148016,1864,0.8412017167381974,0.4990451941438574,0.3045843045843046
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_3__seed_42,qualification_r1_w60_b1024,G3,lstm,R1,60,3,42,51651,651602,2,17,0.30624706434945986,1.0182649120349878,0.9593623574146698,2.5535980999993626,377265664,False,1151,0.8496959165942659,0.3306288032454361,0.30624706434945986,1500,0.8993333333333333,0.3344088549831052,0.3255917250303841
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_4__seed_42,qualification_r1_w60_b1024,G3,lstm,R1,60,4,42,51651,651602,2,17,0.3140573577809121,1.0131341273571273,0.9555043426089816,2.5687264000007417,377265664,False,1125,0.8906666666666667,0.3300395256916996,0.3140573577809121,1095,0.8648401826484018,0.4978760619690155,0.31359477124183005
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,qualification_r1_w60_b1024,G3,tcn,R1,60,1,42,49379,636796,2,17,0.3081130355515041,0.8220751251936476,0.5959820227097656,270.89159449999715,188977152,False,1180,0.8593220338983051,0.3333333333333333,0.3081130355515041,1534,0.7092568448500652,0.3333333333333333,0.2766336130180524
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_2__seed_42,qualification_r1_w60_b1024,G3,tcn,R1,60,2,42,49379,636796,2,17,0.3195739014647137,0.9233813546174483,0.7194796101414842,251.8068757000001,188977152,False,1173,0.9207161125319693,0.3333333333333333,0.3195739014647137,1864,0.8428111587982833,0.5,0.30490053372149445
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_3__seed_42,qualification_r1_w60_b1024,G3,tcn,R1,60,3,42,49379,636668,1,16,0.32351419730444025,1.1007868130436018,0.9059740449427316,259.78267990000313,188977152,False,1151,0.6038227628149435,0.3629452688516423,0.32351419730444025,1500,0.5686666666666667,0.32822133974291984,0.2791993618639509
