ablation,absent_classes,accuracy,balanced_accuracy,best_epoch,best_training_loss,best_validation_loss,best_validation_macro_f1,configuration_id,fold,generation,inference_seconds,inference_windows_per_second,macro_f1_all_classes,macro_f1_present_classes,model,model_size_bytes,num_windows,parameter_count,peak_gpu_memory_bytes,present_classes,representation,resumed_checkpoint,run_id,seed,stopping_epoch,subset,train_seconds,training_seconds,window_size_frames
temporal_r0,[],0.8,0.39365621626751124,3,0.3854414101156564,0.5087802194025781,0.39020915706836284,qualification_r0_w150_b1024,3,G2,0.041176299997459864,27321.541762358454,0.39020915706836284,0.39020915706836284,transformer,267507,1125,17443,570034688,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,42,18,validation,6.004303699999582,6.004303699999582,150
temporal_r0,[],0.8948425987943738,0.44807058769322916,3,0.3854414101156564,0.5087802194025781,0.39020915706836284,qualification_r0_w150_b1024,3,G2,0.04272829999899841,34941.713104312534,0.4421222480059219,0.4421222480059219,transformer,267507,1493,17443,570034688,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,42,18,test,6.004303699999582,6.004303699999582,150
temporal_r0,[],0.8552036199095022,0.4475846841116302,3,0.34877615476023593,0.40292383285399475,0.42321963962359366,qualification_r0_w150_b1024,4,G2,0.0353343999995559,31272.640826330382,0.42321963962359366,0.42321963962359366,transformer,267507,1105,17443,570034688,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,42,18,validation,6.257067800001096,6.257067800001096,150
temporal_r0,"[""fatigue""]",0.7797397769516728,0.5330216295332574,3,0.34877615476023593,0.40292383285399475,0.42321963962359366,qualification_r0_w150_b1024,4,G2,0.033963600002607564,31680.97610139649,0.3527387078963939,0.5291080618445908,transformer,267507,1076,17443,570034688,"[""alert"", ""distraction""]",R0,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,42,18,test,6.257067800001096,6.257067800001096,150
temporal_r1,[],0.8338983050847457,0.33557357488981426,1,1.0795489879891271,1.0326304334705159,0.32566370625029845,qualification_r1_w60_b1024,1,G3,0.019274500002211425,61220.78393030246,0.32566370625029845,0.32566370625029845,lstm,651538,1180,51651,376863232,"[""alert"", ""fatigue"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,42,16,validation,2.3686946999951033,2.3686946999951033,60
temporal_r1,[],0.5671447196870926,0.30609042759584043,1,1.0795489879891271,1.0326304334705159,0.32566370625029845,qualification_r1_w60_b1024,1,G3,0.025119999998423737,61066.878984723626,0.2984692937351016,0.2984692937351016,lstm,651538,1534,51651,376863232,"[""alert"", ""fatigue"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,42,16,test,2.3686946999951033,2.3686946999951033,60
temporal_r1,[],0.8593220338983051,0.3333333333333333,2,0.8220751251936476,0.5959820227097656,0.3081130355515041,qualification_r1_w60_b1024,1,G3,3.7907339000012144,311.2853687776982,0.3081130355515041,0.3081130355515041,tcn,636796,1180,49379,188977152,"[""alert"", ""fatigue"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,42,17,validation,270.89159449999715,270.89159449999715,60
temporal_r1,[],0.7092568448500652,0.3333333333333333,2,0.8220751251936476,0.5959820227097656,0.3081130355515041,qualification_r1_w60_b1024,1,G3,5.201099999998405,294.9376093519583,0.2766336130180524,0.2766336130180524,tcn,636796,1534,49379,188977152,"[""alert"", ""fatigue"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,42,17,test,270.89159449999715,270.89159449999715,60
temporal_r1,[],0.9198635976129582,0.3330246913580247,3,0.9877542837751022,0.9186114646996175,0.3194197750148016,qualification_r1_w60_b1024,2,G3,0.02367660000163596,49542.58634765761,0.3194197750148016,0.3194197750148016,lstm,651730,1173,51651,377265664,"[""alert"", ""fatigue"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_2__seed_42,42,18,validation,2.324515899999824,2.324515899999824,60
temporal_r1,"[""fatigue""]",0.8412017167381974,0.4990451941438574,3,0.9877542837751022,0.9186114646996175,0.3194197750148016,qualification_r1_w60_b1024,2,G3,0.03548469999805093,52529.681809410366,0.3045843045843046,0.4568764568764569,lstm,651730,1864,51651,377265664,"[""alert"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_2__seed_42,42,18,test,2.324515899999824,2.324515899999824,60
