model,window_size_frames,fold,subset,comparison,metric,delta
transformer,150,1,test,R2-R0,fatigue_f1,0.0
transformer,150,1,test,R2-R0,fatigue_recall,0.0
transformer,150,1,test,R2-R0,distraction_f1,0.014766238905534412
transformer,150,1,test,R2-R0,fatigue_predictions,0
transformer,150,1,test,R2-R1,macro_f1_all_classes,0.20330926605337646
transformer,150,1,test,R2-R1,balanced_accuracy,0.18775137005996567
transformer,150,1,test,R2-R1,fatigue_f1,-0.1411764705882353
transformer,150,1,test,R2-R1,fatigue_recall,-0.0967741935483871
transformer,150,1,test,R2-R1,distraction_f1,0.669150344701639
transformer,150,1,test,R2-R1,fatigue_predictions,-23
transformer,150,2,validation,R1-R0,macro_f1_all_classes,-0.0879275819935717
transformer,150,2,validation,R1-R0,balanced_accuracy,-0.12072407603133861
transformer,150,2,validation,R1-R0,fatigue_f1,0.0
transformer,150,2,validation,R1-R0,fatigue_recall,0.0
transformer,150,2,validation,R1-R0,distraction_f1,-0.30701754385964913
transformer,150,2,validation,R1-R0,fatigue_predictions,0
transformer,150,2,validation,R2-R0,macro_f1_all_classes,-0.017414856002972046
transformer,150,2,validation,R2-R0,balanced_accuracy,-0.048006106665324566
transformer,150,2,validation,R2-R0,fatigue_f1,0.0
transformer,150,2,validation,R2-R0,fatigue_recall,0.0
transformer,150,2,validation,R2-R0,distraction_f1,-0.06392362120771544
transformer,150,2,validation,R2-R0,fatigue_predictions,0
transformer,150,2,validation,R2-R1,macro_f1_all_classes,0.07051272599059966
transformer,150,2,validation,R2-R1,balanced_accuracy,0.07271796936601405
transformer,150,2,validation,R2-R1,fatigue_f1,0.0
transformer,150,2,validation,R2-R1,fatigue_recall,0.0
transformer,150,2,validation,R2-R1,distraction_f1,0.2430939226519337
transformer,150,2,validation,R2-R1,fatigue_predictions,0
transformer,150,2,test,R1-R0,macro_f1_all_classes,-0.2222826840970082
transformer,150,2,test,R1-R0,balanced_accuracy,-0.2921126471393376
transformer,150,2,test,R1-R0,fatigue_f1,0.0
transformer,150,2,test,R1-R0,fatigue_recall,0.0
transformer,150,2,test,R1-R0,distraction_f1,-0.6476868327402135
transformer,150,2,test,R1-R0,fatigue_predictions,0
transformer,150,2,test,R2-R0,macro_f1_all_classes,0.007339854782751676
transformer,150,2,test,R2-R0,balanced_accuracy,0.0022105119080206848
transformer,150,2,test,R2-R0,fatigue_f1,0.0
transformer,150,2,test,R2-R0,fatigue_recall,0.0
transformer,150,2,test,R2-R0,distraction_f1,0.016519809326207113
transformer,150,2,test,R2-R0,fatigue_predictions,0
transformer,150,2,test,R2-R1,macro_f1_all_classes,0.22962253887975986
transformer,150,2,test,R2-R1,balanced_accuracy,0.2943231590473583
transformer,150,2,test,R2-R1,fatigue_f1,0.0
transformer,150,2,test,R2-R1,fatigue_recall,0.0
transformer,150,2,test,R2-R1,distraction_f1,0.6642066420664207
transformer,150,2,test,R2-R1,fatigue_predictions,0
transformer,150,3,validation,R1-R0,macro_f1_all_classes,-0.08170867951344402
transformer,150,3,validation,R1-R0,balanced_accuracy,-0.060322882934177924
transformer,150,3,validation,R1-R0,fatigue_f1,0.0
transformer,150,3,validation,R1-R0,fatigue_recall,0.0
transformer,150,3,validation,R1-R0,distraction_f1,-0.2866666666666667
transformer,150,3,validation,R1-R0,fatigue_predictions,0
transformer,150,3,validation,R2-R0,macro_f1_all_classes,0.006146204631509167
transformer,150,3,validation,R2-R0,balanced_accuracy,0.000436520645765881
transformer,150,3,validation,R2-R0,fatigue_f1,0.0
transformer,150,3,validation,R2-R0,fatigue_recall,0.0
transformer,150,3,validation,R2-R0,distraction_f1,0.004378109452736312
transformer,150,3,validation,R2-R0,fatigue_predictions,0
transformer,150,3,validation,R2-R1,macro_f1_all_classes,0.08785488414495318
transformer,150,3,validation,R2-R1,balanced_accuracy,0.060759403579943805
transformer,150,3,validation,R2-R1,fatigue_f1,0.0
transformer,150,3,validation,R2-R1,fatigue_recall,0.0
transformer,150,3,validation,R2-R1,distraction_f1,0.291044776119403
