model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r0,3,test,alert,distraction,104,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,test,fatigue,alert,16,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,test,fatigue,fatigue,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,test,fatigue,distraction,6,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,test,distraction,alert,30,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,test,distraction,fatigue,10,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,test,distraction,distraction,66,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,validation,alert,alert,689,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,validation,alert,fatigue,171,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,validation,alert,distraction,142,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,validation,fatigue,alert,6,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,validation,fatigue,fatigue,6,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,validation,fatigue,distraction,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,validation,distraction,alert,37,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,validation,distraction,fatigue,12,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,validation,distraction,distraction,42,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,test,alert,alert,682,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,test,alert,fatigue,82,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,test,alert,distraction,182,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,test,fatigue,alert,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,test,fatigue,fatigue,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,test,fatigue,distraction,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,test,distraction,alert,65,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,test,distraction,fatigue,14,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,4,test,distraction,distraction,51,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42
