ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,distraction,g4_d_augmentation_w60,106,2,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,0,2,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,187,2,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,987,2,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,0,2,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,93,2,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,17,2,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,2,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,2,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,52,2,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,0,2,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,24,2,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,1481,2,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,0,2,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,90,2,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,2,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,2,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,test,60
