run_id,generation,configuration_id,representation,window_size_frames,model,fold,seed,epoch,training_loss,validation_loss,training_macro_f1,validation_macro_f1,training_accuracy,validation_accuracy,learning_rate
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,6,0.6219273519466009,0.8013469839918202,0.7951105748784143,0.3565972096248191,0.793151642208246,0.728448275862069,0.001
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,7,0.5976194594807761,0.8327301526891774,0.8012270793236779,0.34406483365210083,0.7990915443745632,0.7120689655172414,0.001
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,8,0.5610956223505847,0.8538844112692208,0.8157074879811012,0.3375187092798028,0.8137665967854647,0.6948275862068966,0.001
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,9,0.5175604301262036,0.8343036014458228,0.820172301830573,0.3456773436249489,0.8186582809224319,0.7060344827586207,0.001
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,10,0.517864616620299,0.8137038650183842,0.823749391949938,0.34901457099732963,0.8221523410202656,0.7129310344827586,0.0005
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,11,0.5204658045958673,0.814770611401262,0.822186767214311,0.35206756463790523,0.8204053109713487,0.7137931034482758,0.0005
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,12,0.5000333717492474,0.8507840366199099,0.8264843952967268,0.34576041162267485,0.8252969951083159,0.6948275862068966,0.0005
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,13,0.4983148649386973,0.8440698525001262,0.8242785139990896,0.3449827175254256,0.8242487770789657,0.6922413793103448,0.0005
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,14,0.48602962454326665,0.8426682073494484,0.8211052461703711,0.34353021250850785,0.8197064989517819,0.6905172413793104,0.00025
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,15,0.46191205085365195,0.8478692913877552,0.83168004631563,0.3436258941972019,0.8308874912648497,0.6887931034482758,0.00025
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,16,0.4768970953593464,0.8466474339879793,0.8258016567409259,0.3443564234831737,0.8266946191474493,0.6896551724137931,0.00025
