model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r0,3,test,alert,alert,1250,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,test,alert,fatigue,7,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,test,alert,distraction,108,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,test,fatigue,alert,17,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,test,fatigue,fatigue,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,test,fatigue,distraction,5,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,test,distraction,alert,31,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,test,distraction,fatigue,10,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,test,distraction,distraction,65,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,validation,alert,alert,683,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,validation,alert,fatigue,172,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,validation,alert,distraction,147,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,validation,fatigue,alert,5,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,validation,fatigue,fatigue,7,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,validation,fatigue,distraction,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,validation,distraction,alert,36,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,validation,distraction,fatigue,13,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,validation,distraction,distraction,42,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,test,alert,alert,674,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,test,alert,fatigue,87,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,test,alert,distraction,185,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,test,fatigue,alert,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,test,fatigue,fatigue,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,test,fatigue,distraction,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,test,distraction,alert,65,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,test,distraction,fatigue,11,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,4,test,distraction,distraction,54,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
