run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
final__screening__deep__tcn__r0__w60__fold_3__seed_42,screening,deep,temporal,screening,tcn,R0,60,3,42,class_weights,99ade7a716d66ed8bd3681a27b93cf77a6972d177fbf057227c956235f9eee85,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__tcn__r0__w60__fold_4__seed_42,screening,deep,temporal,screening,tcn,R0,60,4,42,class_weights,299975fb233acf90b2015adaed3a36aaa7dee9af3743ec53f2da3c466cb5863c,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__transformer__r0__w150__fold_1__seed_42,screening,deep,temporal,screening,transformer,R0,150,1,42,class_weights,4b1fd5073acac38140e1a1b4deada011d18860ae8f01dbffd3ff1fcd214ded67,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__transformer__r0__w150__fold_2__seed_42,screening,deep,temporal,screening,transformer,R0,150,2,42,class_weights,9fc9d6d41b726f1baf7993a3882fd1faae5a2844c318865fe5c3d69d3621ad20,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__transformer__r0__w150__fold_3__seed_42,screening,deep,temporal,screening,transformer,R0,150,3,42,class_weights,8764bb6c358e1638a9bd115614d8f4410a614a9bab3f8050379cf8ddddf08de9,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__transformer__r0__w150__fold_4__seed_42,screening,deep,temporal,screening,transformer,R0,150,4,42,class_weights,af6c6ad30dd86c4612d3edd4bcd0fb69ffb342644ec8792c8df628936ad5d0fd,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__transformer__r0__w30__fold_1__seed_42,screening,deep,temporal,screening,transformer,R0,30,1,42,class_weights,35aba96eddecdc096a2503e9acef871f3680a4025494f7c5192ed64a7622b1f6,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__transformer__r0__w30__fold_2__seed_42,screening,deep,temporal,screening,transformer,R0,30,2,42,class_weights,3dc5735b3b7a0fa42061c02f1268e492fc676244ced651450c3a127fbc90470a,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__transformer__r0__w30__fold_3__seed_42,screening,deep,temporal,screening,transformer,R0,30,3,42,class_weights,02118e492bec76386dd28735e7f3336b516e03095587b6d12560306da4d68438,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__transformer__r0__w30__fold_4__seed_42,screening,deep,temporal,screening,transformer,R0,30,4,42,class_weights,3aba8bdd231cce3d306ce99f26bc9208b2c335295c2a6afc4c9a1c42befef473,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__transformer__r0__w60__fold_1__seed_42,screening,deep,temporal,screening,transformer,R0,60,1,42,class_weights,b0f12ad9335de67b4fd68b7ce7da75fe5d96f62329568071df0ee3daa691b0ee,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__transformer__r0__w60__fold_2__seed_42,screening,deep,temporal,screening,transformer,R0,60,2,42,class_weights,b9f4bc86bddf879037cb4247b68c6fbf4bdd4d1a905192eea19bd7e8e8432db2,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__transformer__r0__w60__fold_3__seed_42,screening,deep,temporal,screening,transformer,R0,60,3,42,class_weights,d079405e7889a7285625aa9bca65f8cb9c6c72910c6e70fdb646f254929e503b,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__transformer__r0__w60__fold_4__seed_42,screening,deep,temporal,screening,transformer,R0,60,4,42,class_weights,78d553e289441e18855e0556cf59dec7ffe07af23ef1bc4bbee20b28dcf694a8,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__distance__knn_dtw__r0__w60__fold_1__seed_42,screening,distance,classical,screening,knn_dtw,R0,60,1,42,none,ec5ace4aa8d5394f4f44c3921eecd702aa771f7c2ec2a4524e545264c5a467b9,blocked,new,,,2026-09-15T18:12:46+00:00,"DTW train=3233 eval=2715 pairs=8,777,595; limit=5,000,000; cache=True"
final__screening__distance__knn_dtw__r0__w60__fold_2__seed_42,screening,distance,classical,screening,knn_dtw,R0,60,2,42,none,5308e23803228b455be2634376ca598e12c4ff141dccef435d0c80b97ac4df79,blocked,new,,,2026-09-15T18:12:46+00:00,"DTW train=2910 eval=3037 pairs=8,837,670; limit=5,000,000; cache=True"
final__screening__distance__knn_dtw__r0__w60__fold_3__seed_42,screening,distance,classical,screening,knn_dtw,R0,60,3,42,none,8e74aa6d30bd5d22bfc51982859edd819b673367bcdc7e33067dc965fbe3416c,blocked,new,,,2026-09-15T18:12:46+00:00,"DTW train=3307 eval=2652 pairs=8,770,164; limit=5,000,000; cache=True"
final__screening__distance__knn_dtw__r0__w60__fold_4__seed_42,screening,distance,classical,screening,knn_dtw,R0,60,4,42,none,99e812510b94c7fc0c103a95224a94f37a8ed71808b55587d743e17ce46d6bd0,blocked,new,,,2026-09-15T18:12:46+00:00,"DTW train=3723 eval=2225 pairs=8,283,675; limit=5,000,000; cache=True"
final__screening__feature__dummy__r0_flat__w150__fold_1__seed_42,screening,feature,classical,screening,dummy,R0_flat,150,1,42,none,2fa4e3be3439f73d20bf8e55121fda32ab8d79cd06395fbca58552a1ab51edfb,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__dummy__r0_flat__w150__fold_1__seed_42.joblib,1.208,2026-09-15T18:12:53+00:00,
final__screening__feature__dummy__r0_flat__w150__fold_2__seed_42,screening,feature,classical,screening,dummy,R0_flat,150,2,42,none,d86285a3ca1ae4d82809669a56c98de73bc5a1b8627b062ca0e90cb41e59a027,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__dummy__r0_flat__w150__fold_2__seed_42.joblib,1.213,2026-09-15T18:12:54+00:00,
